번호,문제,보기1,보기2,보기3,보기4,정답,해설,
44,"공항운영자에 대한 과징금 부과 시, 국토교통부장관이 과징금 금액의 2분의 1 범위에서 그 금액을 늘릴 수 있는 요건(가중 사유)으로 명시되지 않은 것은?",위반의 내용 및 정도가 중대하여 공중에 미치는 영향이 크다고 인정되는 경우,법 위반상태의 기간이 6개월 이상인 경우,위반행위자가 법 위반상태를 시정하거나 해소하기 위하여 노력한 사실이 인정되는 경우,위반행위의 동기와 그 결과 및 위반 횟수 등을 고려하여 과징금 금액을 늘릴 필요가 있다고 인정되는 경우,3,위반행위자가 법 위반상태를 시정하거나 해소하기 위하여 노력한 사실이 인정되는 경우는 과징금을 2분의 1 범위에서 줄일 수 있는 '감경 사유'에 해당한다 [cite: 549].,
45,"공항시설 등에서의 금지행위 위반 시 부과되는 범칙금과 관련하여, 1차 위반 시 범칙금액이 '8만원'인 범칙행위로만 묶인 것은?","공항 시설 무단 점유 행위, 영업을 목적으로 손님을 부르는 행위","노숙하는 행위, 폭언 또는 고성방가 등 소란을 피우는 행위","광고물을 설치하는 행위, 불을 피우는 행위","영업행위, 보호구역 외의 장소에서 담배를 피우는 행위",1,"영업행위, 시설 무단 점유, 구매 강요 또는 손님을 부르는 행위는 1차 위반 시 8만원의 범칙금이 부과된다 [cite: 582]. 노숙, 소란, 광고물 부착 등은 5만원이다 [cite: 582].",
46,항공장애 표시등 및 항공장애 주간표지의 설치를 생략할 수 있는 구조물의 조건에 대한 설명으로 틀린 것은?,장애물이 주간에 고광도 표시등을 설치하여 운영되는 경우에는 표지의 설치를 생략할 수 있다.,장애물이 등대(lighthouse)인 경우에는 표시등 및 표지의 설치를 모두 반드시 생략하여야 한다.,장애물이 주간에 중광도 A형태의 표시등을 설치하여 운영되는 구조물 중 그 높이가 지표 또는 수면으로부터 150미터 이하인 구조물에는 표지의 설치를 생략할 수 있다.,"고정 장애물 등에 의하여 비행로가 광범위하게 장애가 되는 곳에서 정해진 비행로 미만으로 수직 간격이 확보된 경우, 표시등 및 표지 설치를 생략할 수 있다.",2,"장애물이 등대(lighthouse)인 경우에는 표시등의 설치를 생략'할 수 있다'고 규정되어 있으나, 반드시 생략해야 하는 의무 규정은 아니다 [cite: 821]. 고광도 표시등이나 150m 이하 중광도 A형태 표시등 운영 시 표지 생략이 가능하다 [cite: 820].",
47,육상비행장 활주로의 폭을 결정하는 규정 중 틀린 것은?,분류번호가 1이고 항공기 주륜외곽의 폭이 4.5m 미만인 활주로의 폭은 최소 18m이다.,분류번호가 2이고 항공기 주륜외곽의 폭이 4.5m 이상 6m 미만인 활주로의 폭은 최소 23m이다.,분류번호가 1 또는 2인 정밀접근 활주로의 폭은 어떠한 경우에도 30m 이상이어야 한다.,분류번호가 3이고 항공기 주륜외곽의 폭이 9m 이상 15m 미만인 활주로의 폭은 30m로 한다.,4,"육상비행장의 활주로 폭 기준에 따라, 분류번호가 3이더라도 주륜외곽의 폭이 9m 이상 15m 미만인 경우에는 활주로 폭을 45m로 확보해야 한다 [cite: 604]. 정밀접근 활주로(1, 2)는 30m 이상 규정이 있다 [cite: 605].",
48,비정밀접근 및 비계기접근에 사용되는 육상비행장의 진입표면 경사도에 대한 설명으로 옳은 것은?,"착륙대 등급 A, B, C, D의 경사도는 50분의 1이다.","착륙대 등급 E, F의 경사도는 일률적으로 30분의 1로 정해져 있다.",착륙대 등급 G의 경사도는 25분의 1이다.,"착륙대 등급 H, J의 경사도는 15분의 1이다.",3,"비정밀접근 및 비계기접근 육상비행장의 진입표면 경사도는 A~D: 40분의 1, E~F: 40분의 1~30분의 1 범위에서 지정, G: 25분의 1, H~J: 20분의 1이다 [cite: 660].",
49,공항시설 및 비행장시설 관리기준에 따라 공항운영자가 매년 수립해야 하는 '공항환경관리계획'에 반드시 포함되어야 하는 항목만을 모두 고른 것은?,"대기질, 수질","수질, 토양, 소음","대기질, 수질, 토양, 온실가스관리","대기질, 수질, 소음, 진동, 온실가스관리",3,공항운영자는 대기질·수질·토양 등 환경 및 온실가스관리가 포함된 공항환경관리계획을 매년 수립하여야 한다고 명시되어 있다 [cite: 712]. 소음이나 진동은 이 조항에 별도로 명시되어 있지 않다.,
50,항행안전무선시설 중 계기착륙시설(ILS)의 '방위각제공시설(LLZ)' 기술기준에 대한 설명으로 옳지 않은 것은?,단일 무선주파수 반송파가 사용될 경우의 주파수 허용편차는 ±0.005퍼센트 이내여야 한다.,두 개의 무선주파수 반송파가 사용될 경우의 주파수 허용편차는 ±0.002퍼센트 이내여야 한다.,반송파의 주파수대역은 108MHz에서 111.975MHz까지의 주파수대로 동작해야 한다.,"식별부호는 1,020Hz±50Hz로 반송파를 주파수변조(FM)하여 2~3개의 영문자 국제 모르스 부호로 송신해야 한다.",4,"방위각제공시설(LLZ)의 식별부호는 1,020Hz±50Hz로 반송파를 주파수변조(FM)가 아닌 '진폭변조'하여 송신해야 한다 [cite: 1011]. 주파수 허용편차 및 대역은 보기 내용과 일치한다 [cite: 1005].",
51,항행안전시설 사용료를 납부기한까지 내지 아니한 자에 대한 연체금 및 징수에 관한 설명으로 가장 거리가 먼 것은?,연체금은 체납기간 1일마다 체납된 사용료에 1일 10만분의 28의 율을 초과하지 않는 범위에서 정해진 연체이자율을 곱하여 산정한다.,연체금의 총 한도는 시행령에 따라 체납된 사용료의 100분의 30을 초과할 수 없다.,"납부기한까지 사용료를 내지 않으면 15일 이내의 기간을 정하여 납부를 고지해야 하며, 이후 두 번 이내의 범위에서 추가로 고지할 수 있다.",한국공항공사가 연체이자율을 정하는 경우에는 국토교통부장관의 단독 승인만 받으면 되며 별도 이사회의 의결은 거치지 않는다.,4,"한국공항공사나 인천국제공항공사가 연체이자율을 정하는 경우에는 반드시 '이사회의 의결'을 거쳐야 한다 [cite: 213]. 연체금 상한은 100분의 30이다 [cite: 213, 277].",
52,계기착륙시설(ILS) 중 '활공각제공시설(GP)'의 수직 도달범위 기술기준으로 올바른 것은?,수평면을 기준으로 수직상단 1.50θ에서 하단 0.50θ까지 제공,수평면을 기준으로 수직상단 1.75θ에서 하단 0.45θ까지 제공 (진입절차상 필요 시 0.30θ까지 확장),수평면을 기준으로 수직상단 2.00θ에서 하단 0.30θ까지 제공,수평면을 기준으로 수직상단 1.25θ에서 하단 0.45θ까지 제공,2,"활공각제공시설(GP)의 수직 도달범위는 수평면을 기준으로 수직으로 상단 1.75θ에서 하단 0.45θ까지이며, 활공각 교차 진입절차를 준수해야 하는 경우에는 하단 0.30θ까지 확장해야 한다 [cite: 1016].",
53,항공장애 주간표지의 설치기준 중 물체의 채색 및 무늬에 관한 설명으로 틀린 것은?,수직면에 투영된 물체의 가로 및 세로가 모두 4.5미터 이상인 경우에는 체크무늬 형태의 색채로 표지해야 한다.,체크무늬 형태는 한 변이 1.5미터 이상 3미터 이하의 직사각형이어야 한다.,한 면의 가로가 1.5미터를 초과하고 세로가 4.5미터 미만인 물체는 표지 목적상 단일색으로만 칠해야 한다.,"줄무늬는 가장 긴 변 쪽으로 직각형태이어야 하며, 두 가지 색상을 번갈아 칠해야 한다.",3,물체의 한 면의 가로 또는 세로가 각각 1.5미터를 초과하고 다른 한 면이 4.5미터 미만인 물체는 단일색이 아니라 '교대로 대조되는 줄무늬가 보이도록 채색'하여야 한다 [cite: 894]. 체크무늬는 4.5m 이상일 때 적용된다 [cite: 890].,
54,사업시행자가 국가에 귀속된 공항시설을 무상사용·수익할 수 있는 기간의 산정 기준으로 옳은 것은?,준공확인일로부터 최대 50년까지의 범위에서 국토교통부장관이 정하는 기간,그 시설을 유상으로 사용할 경우의 사용료 총액이 산출된 총사업비에 도달할 때까지의 기간,총사업비의 10%에 해당하는 이익이 지속적으로 발생할 때까지의 기간,실시계획 승인일로부터 30년이 되는 날까지의 기간,2,무상으로 사용·수익할 수 있는 기간은 그 시설을 유상으로 사용할 경우의 사용료 총액이 산출된 총사업비에 도달할 때까지로 한다 [cite: 153].,
55,공항개발사업의 범위에 해당하는 '부대공사'의 내용에 포함되지 않는 것은?,개발사업에 필요한 토석채취장의 개발,개발사업과 관련된 건설인력을 수용하기 위한 숙소 및 편의시설 건설,공항시설 등에서 배출되는 분뇨·오수 등을 처리하기 위한 폐수처리시설 건설,공항 이용객을 위한 대규모 상업·위락·판매 시설의 건설,4,"대규모 상업·위락 시설은 공항개발사업의 기본/지원시설에 해당할 수 있으나, 공사를 위한 '부대공사(토석채취, 진입도로, 숙소, 장애물 제거, 폐수처리시설 등)' 범위에는 속하지 않는다 [cite: 118].",
56,"육상비행장과 육상헬기장, 수상비행장의 착륙대 등급 분류 기준에 대한 설명으로 틀린 것은?","육상비행장 착륙대 등급 A는 활주로 길이가 2,550m 이상인 경우이다.","육상비행장 착륙대 등급 C는 활주로 길이가 1,800m 이상 2,150m 미만인 경우이다.","수상비행장 착륙대 등급 4는 착륙대 길이가 1,500m 이상인 경우이다.","수상비행장 착륙대 등급 1은 착륙대 길이가 1,000m 미만인 경우이다.",4,"수상비행장의 착륙대 등급 1은 착륙대 길이가 1,000m 미만이 아니라 '800m 미만'인 경우이다 [cite: 601].",
57,항공장애 표시등의 설치위치에 대한 설명으로 틀린 것은?,"표시등이 인접 장애물에 의해 차폐되는 경우, 차폐된 표시등이 장애물 확인에 도움이 되지 않으면 추가 설치를 생략할 수 있다.",굴뚝의 경우 연기 등으로 표시등 기능이 저하되는 것을 막기 위해 정상에서 아래쪽으로 1.5~3m(플레어 스택은 최대 6m) 낮은 곳에 설치할 수 있다.,"넓은 범위에 걸친 여러 건물이 밀접한 경우, 가장자리가 같은 높이일 때는 착륙지역에서 가장 먼 가장자리에 우선 설치해야 한다.","장애물 제한표면보다 가장 근접한 지점이 물체의 정상점이 아닌 경우, 그 물체의 정상점에도 표시등을 추가로 설치해야 한다.",3,가장자리가 같은 높이일 경우에는 착륙지역에서 가장 '가까운' 가장자리에 설치해야 조종사가 쉽게 식별할 수 있다 [cite: 866]. 굴뚝은 1.5~3m 아래에 설치할 수 있는 것이 맞다 [cite: 863].,
58,항행안전무선시설 중 다변측정감시시설(MLAT)의 기능 및 기술기준에 대한 설명으로 옳은 것은?,1차 감시레이더(PSR) 신호를 이용하여 반사파의 시간차를 분석하는 방식이다.,탐지장치는 2차 감시레이더 트랜스폰더에서 송신되는 신호를 지상의 다수 수신기로 수신하여 위치 정보를 자료처리장치에 제공한다.,자료처리장치는 기상 레이더와 연동하여 비구름 등의 기상 상태를 관제용 현시장치에 표시하는 것이 주된 목적이다.,"수평 방위각 탐지 오차는 ±0.5도 이내여야 하며, 고도 탐지 기능은 원천적으로 지원하지 않는다.",2,"다변측정감시시설(MLAT)은 2차 감시레이더(SSR) 트랜스폰더에서 송신되는 신호의 도달 시간차를 지상의 여러 수신기가 비교·분석하는 다변측정방식을 이용한다 [cite: 1104, 1106].",
59,공항운영자가 매년 실시하는 '조류충돌 위험도 평가'에 관한 설명으로 틀린 것은?,조류충돌 위험도 평가는 비행장 표점 기준 반경 13킬로미터 이내의 지역을 대상으로 한다.,조류충돌 위험도 평가에는 조류충돌 발생 가능성과 피해의 심각도가 포함되어야 한다.,조류충돌 위험도 평가는 매년 2회 이상 정기적으로 실시하는 것이 원칙이다.,조류충돌로 항공기의 엔진이나 기체에 손상이 발생한 경우에는 정기 평가 시기와 무관하게 별도로 위험도 평가를 실시해야 한다.,3,조류충돌 위험도 평가는 매년 '1회' 이상 실시하는 것이 원칙이다 [cite: 161].,
60,이착륙장을 관리하는 자가 제정해야 하는 '이착륙장 관리규정'에 필수적으로 포함되어야 할 사항으로 명시되지 않은 것은?,이착륙장의 운용 시간,경량항공기 또는 초경량비행장치를 위한 연료 보급 장소 및 정비 장소,이착륙장 안에서의 행위를 제한하는 경우 그 제한 대상 행위,재해·사고 등이 발생한 경우의 시각·원인·상황과 이에 대한 상세 조치 내역,4,"재해·사고의 시각, 원인, 상황 및 조치 내역은 이착륙장 '관리대장'에 기록해야 할 사항이며, '관리규정'에 포함하는 항목(운용시간, 비행구역, 연료보급, 출입제한 등)과는 구분된다 [cite: 189, 190].",
61,공항운영증명의 등급 구분에 대한 설명으로 가장 옳지 않은 것은?,1등급은 국내 및 국제항공운송사업에 사용되고 최근 5년 평균 연간 운항횟수가 3만회 이상인 공항이다.,2등급은 국내 및 국제항공운송사업에 사용되고 최근 5년 평균 연간 운항횟수가 3만회 미만인 공항이다.,"3등급은 국내항공운송사업에만 사용되는 공항으로, 부정기편만 운항하는 공항도 포함된다.",4등급은 1등급부터 3등급까지에 해당하지 아니하는 공항으로서 항공운송사업에 사용되는 공항이다.,3,"시행규칙 제47조제2항제3호에 따르면 3등급은 국내항공운송사업에 사용되는 공항을 말하지만, 부정기편만 운항하는 공항은 제외된다.",
62,항공기의 급유 또는 배유 시 지켜야 할 사항으로 옳지 않은 것은?,발동기가 운전 중이거나 가열상태에 있을 경우에는 급유 또는 배유를 하지 않아야 한다.,항공기가 격납고 기타의 건물의 외측 10미터 이내에 있을 경우에는 급유 또는 배유를 하지 않아야 한다.,급유 시에는 항공기와 급유장치 간에 전위차를 없애기 위하여 전도체로 연결(Bonding)을 하여야 한다.,항공기와 지면과의 전기저항 측정치 차이가 1메가옴 이상인 경우에는 추가로 항공기 또는 급유장치를 접지시켜야 한다.,2,시행규칙 별표 4 제14호가목3)에 따르면 항공기가 격납고 기타의 건물의 외측 15미터 이내에 있을 경우에는 급유 또는 배유를 하지 말아야 한다.,
63,장애물 또는 항공장애 표시등과 관련하여 발하여진 시정명령 등을 이행하지 않은 자에게 부과되는 이행강제금에 대한 설명으로 가장 거리가 먼 것은?,표시등을 설치하지 아니한 자에게 발령된 설치 명령을 이행하지 않은 경우 1천만원 이하의 이행강제금이 부과된다.,표시등 관리 실태 검사 결과 관리상 하자에 따른 시정명령을 위반한 경우 500만원 이하의 이행강제금이 부과된다.,이행강제금은 최초의 시정명령이 있었던 날을 기준으로 1년에 2회씩 반복하여 부과·징수할 수 있다.,"시정명령을 받은 자가 명령을 이행한 경우에는 새로운 이행강제금 부과를 중지하되, 이미 부과된 이행강제금은 징수하여야 한다.",3,법 제70조제4항에 따르면 이행강제금은 최초의 시정명령이 있었던 날을 기준으로 1년에 한 번씩 그 시정명령이 이행될 때까지 반복하여 부과·징수할 수 있다.,
64,항행안전무선시설 중 전술항행표지시설(TACAN)의 기술기준에 관한 설명 중 틀린 것은?,방위각 정보를 제공하기 위하여 15Hz 및 135Hz의 진폭변조가 이루어져야 한다.,15Hz의 최고 진폭이 정동방향에 위치할 경우 자북 기준신호가 송신되어야 한다.,자북 기준신호로부터 60도의 간격을 갖는 보조기준신호를 송신하여야 한다.,"자북 기준신호는 1초당 180개의 펄스쌍들이 송신되며, 보조기준신호는 1초당 720개의 펄스쌍이 송신된다.",3,시행규칙 별표 15 제2호바목2)나)에 따르면 TACAN의 자북 기준신호로부터 40도의 간격을 갖는 보조기준신호를 송신해야 한다.,
65,초경량비행장치 퇴치등으로 인한 손실보상금 지급 절차에 대한 설명으로 옳은 것은?,"손실보상기관은 손실보상금을 분할하여 지급할 수 없으며, 예외 없이 현금으로 일시 지급해야 한다.",손실보상청구를 받은 손실보상기관은 청구를 받은 날부터 30일 이내에 손실보상금을 지급해야 한다.,손실보상금 지급에 부득이한 사유가 있는 경우에는 손실보상 청구인에게 사유를 통지하고 30일의 범위에서 두 차례 연장할 수 있다.,손실보상금을 지급받은 원인과 동일한 원인으로 부상이 악화되어 부상등급이 변경된 경우 추가 지급을 청구할 수 있다.,4,"시행령 제50조의3제5항에 따르면 부상이 악화되어 부상등급이 변경된 경우 손실보상금 추가 지급을 청구할 수 있다. 손실보상금은 예외적으로 분할 가능하며, 지급 기한은 60일 이내(1회 30일 연장 가능)이다.",
66,레이저광선 비행보호공역의 허용 출력한계 기준으로 바르게 짝지어진 것은?,레이저광선 제한공역 - 1제곱센티미터당 50마이크로와트 이하,레이저광선 위험공역 - 1제곱센티미터당 5마이크로와트 이하,레이저광선 민감공역 - 1제곱센티미터당 100나노와트 이하,정상비행공역 - 1제곱센티미터당 10마이크로와트 이하,2,"시행규칙 별표 18 제2호에 따르면 레이저광선의 허용출력한계는 제한공역 50나노와트(nW), 위험공역 5마이크로와트(uW), 민감공역 100마이크로와트(uW), 그 외 정상비행공역은 최대허용방출량(MPE) 이하이다.",
67,"수평표면의 반지름 길이가 2,000미터인 비행장 및 착륙대 등급의 조합으로 옳지 않은 것은?",육상비행장 착륙대 등급 E,수상비행장 착륙대 등급 3,수상비행장 착륙대 등급 2,육상비행장 착륙대 등급 F,4,"시행규칙 별표 2 제2호나목 표 2에 따르면 수평표면 반지름 길이는 육상비행장 착륙대 등급 E는 2천m, F는 1천8백m이다.",
68,공항시설 또는 비행장시설의 관리대장에 기록해야 할 사항 및 평면도 작성 기준으로 틀린 것은?,평면도는 축척 5천분의 1의 도면에 부근의 지형 방위 및 해발고도 등을 표시하여 작성해야 한다.,"평면도에는 행정구역의 명칭 및 그 경계선, 시설의 위치 및 배치 현황을 포함해야 한다.","평면도에는 접근교통시설(도로, 철도 등)과 주변 장애물 분포 현황도 명시해야 한다.",관리대장은 국토교통부장관이 상시적으로 볼 수 있는 지방항공청에 비치하여야 한다.,4,시행규칙 제18조제4항에 따르면 관리대장은 공항 또는 비행장을 관리·운영하는 자가 상시적으로 볼 수 있는 장소에 비치하여야 한다.,
69,범칙금 통고처분에 따른 납부 및 이의제기와 관련하여 즉결심판이 청구되는 대상이 아닌 것은?,성명 또는 주소가 확실하지 아니하여 통고처분을 받지 못한 사람,범칙금납부통고서 받기를 거부한 사람,납부기간 내에 범칙금을 납부하지 않은 사람,즉결심판이 청구되기 전까지 통고받은 범칙금에 그 금액의 100분의 50을 더한 금액을 낸 사람,4,법 제74조제1항 단서에 따르면 즉결심판이 청구되기 전까지 통고받은 범칙금에 그 금액의 100분의 50을 더한 금액을 낸 사람에 대해서는 즉결심판을 청구하지 아니한다.,
70,항공학적 검토위원회 위원의 제척 사유에 해당하지 않는 것은?,위원이 해당 안건의 당사자와 친족이거나 친족이었던 경우,"위원이 해당 안건에 대하여 증언, 진술, 자문, 연구, 용역 또는 감정을 한 경우",위원이나 위원이 속한 법인이 해당 안건의 당사자의 대리인이거나 대리인이었던 경우,위원이 해당 안건 당사자와 과거에 업무상 경쟁 관계에 있었던 법인에 속한 경우,4,"시행령 제39조제1항에 따른 항공학적 검토위원회의 제척사유에는 친족, 증언/감정 이력, 대리인 이력 등이 명시되어 있으나, '업무상 경쟁 관계'는 명문 규정에 존재하지 않는다.",
71,"육상비행장의 분류번호별 활주로 설치기준에 대한 설명 중, 활주로 최대 끝선경사도(활주로 세로 방향의 중심선을 따라 최고표고와 최저표고의 차를 활주로의 길이로 나누어 산출한 경사도)의 제한으로 올바른 것은?",분류번호 1의 최대 끝선경사도는 1%이다.,분류번호 2의 최대 끝선경사도는 1.5%이다.,분류번호 3의 최대 끝선경사도는 1%이다.,분류번호 4의 최대 끝선경사도는 1.5%이다.,3,"시행규칙 별표 1 제1호나목 표에 따르면 활주로 최대 끝선경사도는 분류번호 1과 2의 경우 2%, 분류번호 3과 4의 경우 1%이다.",
72,과태료 부과기준에 있어 부과권자가 과태료를 2분의 1 범위에서 늘릴 수 있는 사유에 해당하는 것은?,위반행위자가 법 위반상태를 시정하거나 해소하기 위하여 노력한 것으로 인정되는 경우,위반행위가 사소한 부주의나 오류로 인한 것으로 인정되는 경우,법 위반상태의 기간이 6개월 이상인 경우,위반행위의 정도 등을 고려하여 과태료 금액을 줄일 필요가 있다고 인정되는 경우,3,"시행규칙 별표 3 제1호라목에 따르면 법 위반상태의 기간이 6개월 이상인 경우, 위반의 내용 정도가 중대하여 피해가 큰 경우 등은 과태료를 2분의 1 범위에서 가중할 수 있는 사유에 해당한다.",
73,공항지상감시레이더(ASDE)의 기술기준으로 적절하지 않은 것은?,"반송파의 주파수대는 Ku 및 Ka 밴드여야 하나, 공항 여건에 따라 X 밴드의 사용도 가능하다.",안테나의 회전속도는 60rpm±10%여야 한다.,고도 감시성능은 비행장 지표면에서 100미터까지를 탐지할 수 있어야 한다.,"방위각 360도를 감시하고 범위는 150미터부터 6,000미터까지 탐지할 수 있어야 한다.",3,시행규칙 별표 15 제2호마목2)라)(2)에 따르면 공항지상감시레이더(ASDE)의 고도 감시성능은 비행장 지표면에서 60미터까지이다.,
74,항행안전시설 비행검사 수수료에 관한 설명으로 틀린 것은?,비행검사 수수료 금액은 비행시간당 267만원이다.,비행시간은 항공기가 자력으로 움직이기 시작한 시간부터 비행완료 후 엔진을 정지한 시간까지이다.,국가기관 또는 지방자치단체의 요청에 따라 시행하는 비행검사는 수수료를 100분의 50 감경한다.,국토교통부장관이 지원하는 예산으로 수행하는 항공통신·전자 관련 시설 연구개발 비행검사는 면제된다.,3,시행규칙 별표 21 제3호가목에 따르면 국가기관 또는 지방자치단체의 요청에 따라 시행하는 비행검사는 수수료가 전액 '면제'된다.,
75,"고광도 표시등의 광배분표 중, 기준값이 '200,000cd'인 고광도 표시등의 0° 수직앙각에서의 최대광도 허용기준은?",25 × 10^4 cd,12.5 × 10^4 cd,2.5 × 10^4 cd,20 × 10^4 cd,1,"시행규칙 별표 10 제1호다목 표 2에 따르면 기준값이 200,000cd인 고광도 표시등의 경우 0° 수직앙각에서 최소광도는 20×10^4 cd, 최대광도는 25×10^4 cd이다.",
76,항공등화의 종류와 그 설명이 잘못 연결된 것은?,일시정지위치등: 지상 주행 중인 항공기에 일시 정지해야 하는 위치를 알려주기 위해 설치하는 등화,진입금지선등: 교통수단이 부주의로 탈출전용 유도로에 진입하는 것을 예방하기 위해 설치하는 등화,활주로경계등: 이륙하려는 항공기에 활주로 끝단이 임박했음을 알려주기 위해 설치하는 등화,시각주기유도시스템: 항공기에 정확한 주기 위치를 안내하기 위해 주기장에 설치하는 등화,3,시행규칙 별표 3 제19호에 따르면 활주로경계등(Runway Guard Lights)은 활주로에 진입하기 전에 멈추어야 할 위치를 알려주기 위해 설치하는 등화이다.,
77,공항시설관리권의 권리 변동 및 특례에 대한 설명으로 틀린 것은?,공항시설관리권을 목적으로 하는 저당권의 설정·변경은 등록부에 등록함으로써 효력이 발생한다.,저당권이 설정된 공항시설관리권은 저당권자의 동의가 없으면 처분할 수 없다.,공항시설관리권은 물권으로 보며 특별한 규정이 없으면 민법 중 동산에 관한 규정을 준용한다.,활주로 등 중요 공항시설에 설정된 공항시설관리권에 대해서는 저당권을 설정할 수 없다.,3,"법 제26조제3항에 따르면 공항시설관리권은 물권으로 보며, 민법 중 '부동산'에 관한 규정을 준용한다.",
78,항공정보처리시스템(AMHS)의 기능 및 기술기준에 대한 설명으로 올바른 것은?,통신 프로토콜은 ISO의 개방형 상호접속방식(OSI)을 전면적으로 준수해야 한다.,MS(Message Store)는 메시지 생성과 전송(Submit)을 직접 담당한다.,AU(Access Unit)는 MTA와 외부장치의 접속기능을 제공한다.,UA(User Agent)는 메시지 전달과 배달을 담당한다.,3,"시행규칙 별표 16 제2호차목에 따르면 AMHS의 통신 프로토콜은 ITU-T X.400을 준수해야 한다. UA가 메시지 생성과 전송을 담당하고, MS는 매개 역할, MTA가 전달과 배달을 담당한다. AU는 외부장치 접속기능을 제공한다.",
79,이착륙장의 설치허가 및 준공확인에 관한 설명으로 옳지 않은 것은?,국토교통부장관 외의 자가 이착륙장을 설치하려는 경우 사전에 국토교통부장관의 허가를 받아야 한다.,"이착륙장 설치허가 시 설계도서를 제출해야 하나, 허가 후 공사 착수 전 별도로 허가받는 조건으로 제출을 유예할 수 있다.","준공확인증명서를 받기 전이라도, 관계 지자체장에게 사전 통보하면 해당 이착륙장을 사용할 수 있다.",거짓이나 부정한 방법으로 이착륙장 설치허가를 받은 경우 그 허가 또는 승인을 취소하여야 한다.,3,"법 제25조제5항에 따르면 준공확인증명서를 받기 전에는 원칙적으로 이착륙장을 사용할 수 없으며, 예외적으로 국토교통부장관으로부터 사용허가를 받은 경우에만 사용할 수 있다.",
80,지상안전관리기준을 위반한 항공관련업무종사자에 대한 행정처분 기준 중 1차 처분이 '운전업무 정지 1일'이 아닌 것은?,공항운영자가 지정한 구역 외의 장소에 차량 및 장비를 주차하거나 정차한 경우,공항운영자가 정하는 바에 따라 차량 및 장비를 견인하지 않은 경우,차량 및 장비를 승차정원 및 화물적재량을 초과하여 사용한 경우,공항운영자가 정한 차량의 통행방법 등을 준수하지 않은 경우,3,시행규칙 별표 4의2에 따르면 차량 및 장비를 승차정원 및 화물적재량을 초과하여 사용한 경우의 1차 처분은 운전업무 정지가 아닌 포괄적인 '업무정지 1일'이다. 나머지 3개 항목은 '운전업무 정지 1일' 처분을 받는다.,
81,항행안전무선시설 중 계기착륙시설(ILS)의 '활공각제공시설(GP)'에 대한 기술기준으로 틀린 것은?,단일 무선주파수 반송파가 사용될 경우의 주파수 허용편차는 ±0.005퍼센트 이내여야 한다.,두 개의 무선주파수 반송파가 사용되는 경우 주파수 허용편차는 ±0.002퍼센트 이내여야 한다.,반송파의 주파수대역은 328.6MHz에서 335.4MHz까지여야 한다.,두 개의 무선주파수 반송파가 사용되는 경우 모든 허용편차를 적용할 때 반송파 간의 주파수 간격은 5kHz 이상 14kHz 이내여야 한다.,4,활공각제공시설(GP)의 경우 반송파 간의 주파수 간격은 '4kHz 이상 32kHz 이내'여야 한다. 5kHz~14kHz는 방위각제공시설(LLZ)의 기준이다. [출처: 공항시설법 시행규칙 별표 15],
82,항공이동위성통신시설[AMS(R)S]의 기술기준에 대한 설명으로 가장 옳지 않은 것은?,공항지역과 항공로에서 각종 항공정보를 패킷 데이터서비스 또는 음성서비스나 두 개의 서비스로 지원한다.,모든 데이터 패킷 및 음성호출은 관련 우선순위에 따라 확인되어야 한다.,"할당된 주파수 대역 내에서 운용하여야 하며, ITU 전파규칙에 따라 보호되어야 한다.","항공기탑재장비(AES) 등은 비행 방향으로 2,800km/h 이상의 대지속도로 이동할 경우에도 서비스링크 신호를 획득 및 추적할 수 있도록 시스템을 의무적으로 설계·운영해야 한다.",4,"기술기준에 따르면 1,500km/h(800knots) 이상의 대지속도로 이동할 경우 신호를 적절히 획득·추적할 수 있어야 하며, 2,800km/h(1,500knots) 이상에서 획득·추적할 수 있도록 하는 것은 '권고' 사항이지 필수 의무사항은 아니다. [출처: 공항시설법 시행규칙 별표 16]",
83,"공항구역에서 차량 또는 장비의 사용 및 취급에 관한 규정 중 예외 없이 반드시 지켜야 할 사항으로 명시된 것이 아닌 것은? (단, 긴급한 경우는 제외한다.)",격납고 내에서는 배기에 대한 방화 장치가 있는 트랙터를 제외하고는 차량 등을 운전하지 아니할 것.,보호구역에서는 공항운영자가 승인한 자 이외의 자는 차량 등을 운전하지 아니할 것.,차량 등의 수선 및 청소는 공항운영자가 정하는 장소 이외의 장소에서 행하지 아니할 것.,계류장에서만 전용으로 사용되는 지상조업 장비와 차량은 공항운영자에게 제원을 등록하고 안전도 검사를 반드시 받을 것.,4,계류장에서만 사용되는 장비와 차량은 안전도 등 검사 및 등록 의무 대상에서 '제외'된다. [출처: 공항시설법 시행규칙 별표 4],
