번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
31,"현행 항공사업법령상 다음 중 '경미한 사업계획의 변경'으로서 변경인가 대신 '변경신고'만으로 처리할 수 있는 사항을 모두 고른 것은? (단, 소형항공운송사업 및 국제항공운송사업을 전제로 함)","ㄱ. 항공운송사업자의 자본금 감소
ㄴ. 항공기의 편명 변경
ㄷ. 새로운 국제선 정기편 노선의 신설(수송력 제한 있는 협정)
ㄹ. 4주 미만의 단기간 운항중단(국제선)","ㄱ, ㄴ","ㄴ, ㄹ","ㄱ, ㄴ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",3,"[출처: 항공사업법 시행규칙 제18조] ㄱ(자본금 감소), ㄴ(항공기의 편명 변경), ㄹ(4주 미만의 국제선 정기편 감편 또는 운항중단)은 경미한 사항으로 변경신고 대상이다. ㄷ. 국제선 정기편 노선의 신설 등은 수송력 제한 등이 있다면 원칙적으로 노선허가 및 사업계획 변경인가 대상이다."
32,현행 항공사업법령상 항공기취급업의 구분에 속하지 않는 업무는?,,항공기에 연료 및 윤활유를 주유하는 사업,화물이나 수하물을 항공기에 싣거나 내리는 사업,항공기 입출항 유도 및 승객·승무원 탑승 관련 지상조업을 하는 사업,항공기의 발동기나 프로펠러를 개조 및 점검하는 사업,4,"[출처: 항공사업법 시행규칙 제5조] 4번 발동기나 프로펠러를 개조하는 사업은 '항공기정비업'의 역무에 해당한다. 항공기취급업은 급유업, 하역업, 지상조업사업(청소, 유도 등)으로 구분된다."
33,현행 항공사업법령상 '항공기사용사업'의 업무 범위에 명시적으로 포함되지 않는 것은?,,"비료 또는 농약 살포, 씨앗 뿌리기 등 농업 지원",해양오염 방지약제 살포 및 수색 구조,글라이더 견인 및 헬리콥터 외부 매달기 방식을 통한 건설자재 운반,고등교육법 제2조에 따른 학교(대학교 등)가 실시하는 비행훈련,4,"[출처: 항공사업법 시행규칙 제4조] 항공기사용사업의 범위 중 '비행훈련'에 대하여, 「고등교육법」 제2조에 따른 학교가 실시하는 비행훈련은 명시적으로 항공기사용사업의 업무 범위에서 '제외'하고 있다."
34,현행 항공사업법령상 외국인 국제항공운송사업자의 행정처분 기준(시행규칙 별표 3)에 관한 내용으로 올바른 것을 모두 고른 것은?,"ㄱ. 대한민국과 체결한 항공협정이 효력을 잃은 경우 사업 일부정지(180일) 처분을 받는다.
ㄴ. 거짓이나 부정한 방법으로 허가를 받은 경우는 사업 전부정지(90일) 사유이다.
ㄷ. 허가받은 사항을 이행하지 않은 경우 사업 일부정지(30일) 처분을 받는다.
ㄹ. 처분 기준일수를 가중하는 경우 그 기간은 6개월을 초과할 수 없다.","ㄱ, ㄴ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 항공사업법 시행규칙 별표 3] ㄴ. 거짓이나 부정한 방법으로 허가를 받은 경우는 절대적 취소 사유이므로 '허가 취소' 처분을 받는다(정지 사유 아님). ㄱ, ㄷ, ㄹ은 별표 3의 개별기준 및 일반기준에 명시된 내용과 정확히 일치한다."
35,현행 항공사업법령상 사업 운임 및 요금의 인가 및 신고에 대한 설명 중 가장 거리가 먼 것은?,,국내항공운송사업자는 국내항공노선의 여객 운임을 정하거나 변경하려는 경우 시행 20일 전까지 예고하여야 한다.,항공운임의 인가기준은 적정한 경비 및 이윤을 포함한 범위를 초과하지 않아야 한다.,화물운송 의뢰인에 대하여 불합리하게 차별하는 요금체계는 인가받을 수 없다.,소형항공운송사업자가 운항하는 국내 부정기편 탑승 운임은 반드시 사전 인가를 받아야 한다.,4,"[출처: 항공사업법 시행규칙 제14조] 제14조 제2항에 따르면 국내항공노선의 여객 또는 화물의 운임을 정하는 경우 20일 이상 예고하여야 한다고 되어 있을 뿐, 국내 부정기편 탑승 운임에 대해 무조건 사전 인가를 받도록 강제하는 규정은 없다. 국내 운임은 예고제(사전 고지)가 원칙이다."
36,현행 항공사업법령상 행정처분의 일반기준 중 처분권자가 사업정지 기준일수를 경감할 수 있는 사유(절반 범위 내)로 규정되어 있지 않은 것은?,,위반행위가 고의가 아닌 사소한 부주의나 오류로 인한 것으로 인정되는 경우,사고로 인한 피해의 정도가 경미한 경우,공공복리의 침해 정도 및 위반행위의 횟수가 적은 경우,위반행위자가 5년 이상 무사고 운항 기록을 보유하고 있는 경우,4,"[출처: 항공사업법 시행규칙 별표 1, 2, 3 등] 행정처분 일반기준에서 감경 사유로 '공공복리의 침해 정도, 사고로 인한 피해의 정도, 항공종사자 과실의 정도, 위반행위 내용 및 횟수 등'을 고려한다고 되어 있으나, 특정 기간(5년) 이상의 무사고 기록 자체를 독립적인 감경 사유로 명시해 놓은 조문은 없다."
37,현행 항공사업법령상 항공레저스포츠사업자가 자본금 요건의 일부를 감면받는 상황에 대한 설명으로 옳은 것은?,,"등록한 항공레저스포츠사업이 둘 이상인 자가 추가로 등록할 때, 가장 자본금이 작은 사업의 기준을 기준으로 감면을 적용한다.","이미 하나의 항공레저스포츠사업을 등록한 자가 다른 사업을 추가 신청 시, 추가하려는 사업 자본금 기준의 100%를 면제받는다.","둘 이상의 사업을 동시에 등록 신청하는 경우, 자본금 기준이 최대인 사업의 자본금만 갖추면 나머지 사업은 자본금을 전혀 갖추지 않아도 무방하다.","자본금 기준의 일부를 갖춘 것으로 보아 등록한 후 기준이 최대였던 사업을 폐업하게 된 경우, 등록 신청 당시 이미 갖춘 것으로 보았던 자본금을 다시 갖추어야 한다.",4,"[출처: 항공사업법 시행령 별표 10 비고] 비고 제4호에 따르면, 기준이 최대인 사업을 폐업하여 더 이상 경영하지 않게 된 경우 면제받았던 자본금을 다시 갖추어야 한다. 동시 신청 시 나머지 사업은 전액 면제가 아니라 '기준의 2분의 1'을 갖춘 것으로 본다."
38,현행 항공사업법령상 '항공교통이용자를 위한 서류의 비치'에 관한 설명으로 가장 옳지 않은 것은?,,"항공운송사업자는 운임표, 요금표, 운송약관을 발권대 및 공항 안내데스크에 비치해야 한다.","항공운송사업자는 항공기 내에도 관련 서류를 비치해야 하지만, 외국인 국제항공운송사업자의 항공기 내부는 예외로 한다.",피해구제계획 및 피해구제 신청을 위한 서류 역시 영업소 및 공항 안내데스크에 비치해야 한다.,"항공기 내 서류 비치 장소에는 모든 운임표와 요금표를 반드시 종이 책자 형태로 비치해야 하며, 피해구제 신청 관계 서류만 비치하는 것은 금지된다.",4,"[출처: 항공사업법 시행규칙 제66조] 제66조 단서에 따라, 제3호의 장소(항공기 내)에는 '피해구제 신청을 위한 관계 서류만 비치할 수 있다'고 예외 규정을 두고 있다. 따라서 종이 책자로 모든 운임표를 비치해야 하고 피해구제 서류만 비치하는 게 금지된다는 것은 오답이다."
39,현행 항공사업법령상 항공교통서비스의 평가를 위해 활용되는 '항공교통서비스 평가항목'에 해당하는 것을 보기에서 모두 고른 것은?,"ㄱ. 항공교통서비스의 정시성 또는 신뢰성
ㄴ. 항공교통서비스 관련 시설의 편의성
ㄷ. 항공교통사업자의 피해구제 실적
ㄹ. 항공교통사업자의 경영 악화로 인한 자본잠식률","ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 항공사업법 제63조, 시행규칙 제67조] 항공교통서비스 평가항목에는 정시성, 시설 편의성, 안전성, 이용자 만족도, 피해구제 실적 등이 포함된다. 자본잠식률은 재무구조 개선명령 등의 기준일 뿐 서비스 평가항목으로 명시되어 있지 않다."
40,현행 항공사업법령상 과징금을 체납한 자에 대한 국토교통부장관의 조치로 가장 적절한 것은?,,"국세 체납처분의 예에 따라 강제징수하기 전, 납부기한이 지난 날부터 30일 이내에 독촉장을 발급해야 한다.",독촉장 발급 시 납부기한은 독촉장 발급일부터 10일 이내로 정하여야 한다.,과징금을 체납하고 있는 자에 대해서도 사소한 부주의로 위반한 경우 과징금을 절반으로 경감할 수 있다.,납부기한까지 내지 않은 경우 영업 면허를 즉시 영구 취소하여야 한다.,2,"[출처: 항공사업법 시행령 제17조, 별표 3 일반기준] 시행령 제17조에 따라 납부기한이 지난 날부터 '7일 이내'에 독촉장을 발급해야 하며, 독촉장의 기한은 '10일 이내'로 한다(보기 2 옳음). 과징금을 체납하고 있는 자는 감경 대상에서 명시적으로 제외된다(보기 3 틀림). 과징금 미납 시 국세 체납처분 예에 따라 징수하며 면허를 즉시 영구 취소하는 규정은 아니다."
41,현행 항공사업법령상 국토교통부장관이 배분한 운수권을 회수할 수 있는 사유(운수권 배분 취소 사유)에 해당하지 않는 것은?,,운수권을 배분받은 항공운송사업자가 해당 노선에서 1년 이내에 운항을 시작하지 아니한 경우,천재지변 등 불가항력적인 사유 없이 배분받은 운수권을 연간 100분의 50 미만으로 사용한 경우,항공운송사업자가 해당 노선의 운수권에 대해 스스로 운항을 포기한 경우,항공운송사업자가 배분받은 운수권을 임의로 다른 항공운송사업자에게 양도한 경우,2,"[출처: 항공사업법 제17조 및 시행규칙 제17조] 천재지변 등 불가항력적인 사유 없이 배분받은 운수권을 특정 기간 동안 일정 비율 미만으로 사용한 경우 운수권 회수 사유가 되나, 법령에 규정된 그 비율은 '연간 20주 미만 운항' 등 세부 규정(또는 연간 배분된 운수권의 100분의 50이 아니라 구체적인 사용 기준 미달)에 따른다. 특히 시행규칙에 따르면, 배분받은 시점으로부터 1년 이내 취항하지 않거나, 최근 1년간 운수권의 '100분의 80' 미만(일부 협정은 다를 수 있음)으로 운항한 경우 등이 회수 검토 대상이 된다. 100분의 50 미만이라는 단정적인 표현은 오답을 유도하는 보기이다."
42,현행 항공사업법령상 재무구조 개선명령 등에 대한 설명으로 가장 옳지 않은 것은?,,국토교통부장관은 항공운송사업자의 재무구조 악화로 인하여 항공안전에 중대한 위험이 예상되는 경우 재무구조의 개선을 명할 수 있다.,재무구조 개선명령의 구체적 기준은 자본잠식률이 100분의 50 이상인 상태가 1년 이상 지속되는 경우이다.,재무구조 개선명령을 받은 항공운송사업자가 이를 이행하지 아니하는 경우 국토교통부장관은 사업의 전부 또는 일부의 정지를 명할 수 있다.,"국토교통부장관은 항공운송사업자의 재무구조가 악화되었더라도, 해당 사업자가 노선을 5개 이상 운영 중인 대형항공사라면 고용유지를 위해 재무구조 개선명령을 면제하여야 한다.",4,[출처: 항공사업법 제33조 및 시행령 제19조] 자본잠식률 100분의 50 이상이 1년 이상 지속되는 경우 등 재무구조가 악화되어 안전에 위험이 예상되면 재무구조 개선명령을 발할 수 있다. 사업 규모(대형항공사)나 고용유지를 이유로 개선명령을 면제하여야 한다는 규정은 존재하지 않는다.
43,현행 항공사업법령상 과징금의 납부기한 연장 및 분할납부에 관한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 과징금이 1천만원 이상인 경우에 한정하여 납부기한을 연장하거나 분할납부하게 할 수 있다.
ㄴ. 재해 등으로 재산에 현저한 손실을 입어 과징금 전액을 일시에 내기 어렵다고 인정되는 경우 납부기한 연장이 가능하다.
ㄷ. 납부기한의 연장은 그 납부기한의 다음 날부터 1년을 초과할 수 없다.
ㄹ. 분할납부를 신청하려는 자는 과징금 납부 통지를 받은 날부터 10일 이내에 국토교통부장관에게 신청하여야 한다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",3,"[출처: 항공사업법 시행령 제17조의2] ㄱ. 과징금의 납부기한 연장 및 분할납부 신청 요건에 '과징금액 1천만원 이상'이라는 하한선은 현행 항공사업법령에 별도로 규정되어 있지 않다(타 법령의 공정거래법 등과 혼동 유발). ㄴ, ㄷ, ㄹ은 시행령의 규정과 일치한다."
44,현행 항공사업법령상 청문을 반드시 실시하여야 하는 처분이 아닌 것은?,,국내항공운송사업 면허의 취소,항공기사용사업 등록의 취소,항공운송사업자에 대한 10억원 이상의 과징금 부과,운수권 배분의 취소,3,"[출처: 항공사업법 제68조] 국토교통부장관이 청문을 하여야 하는 처분은 각종 면허의 취소, 등록의 취소, 인가 및 허가의 취소, 운항증명 취소, 운수권 배분 취소 등 권리의 중대한 박탈을 수반하는 행위들이다. 사업정지를 갈음하는 '과징금 부과' 자체는 의견제출 기회는 부여되나 행정절차법상 법률에 명시된 필수 청문 대상 처분에 해당하지 않는다."
45,현행 항공사업법령상 항공사업의 폐업 또는 휴업에 대한 규정 중 틀린 것은?,,항공운송사업자는 그 사업을 폐업하려는 경우 폐업 예정일 30일 전까지 국토교통부장관에게 신고하여야 한다.,초경량비행장치사용사업자는 그 사업을 6개월 이내에서 휴업하려는 경우 휴업 예정일 7일 전까지 국토교통부장관에게 신고하여야 한다.,국내항공운송사업자가 국내선 정기편 노선을 4주 미만의 단기간 동안 휴지하려는 경우에는 사업계획 변경인가를 받아야 한다.,도심공항터미널업자는 사업을 폐업한 경우 사유가 발생한 날부터 30일 이내에 국토교통부장관에게 폐업 신고를 하여야 한다.,3,[출처: 항공사업법 시행규칙 제18조 등] 국내 정기편 노선을 '4주 미만'의 단기간 동안 운항 중단(휴지)하는 것은 '경미한 사업계획의 변경'에 해당하여 변경인가가 아닌 '변경신고' 대상이다.
46,현행 항공사업법령상 항공운송사업자의 노선 허가 시 국토교통부장관이 고려해야 할 사항으로 법령에 명시되지 않은 것은?,,해당 노선에 관한 항공협정 또는 양해각서 등,항공운송사업자의 운송능력 및 안전운항능력,이용자의 편의,해당 노선을 운항 중인 타 항공운송사업자의 전년도 영업이익률,4,"[출처: 항공사업법 시행령 제15조] 노선허가 시 협정, 운송능력/안전능력, 이용자 편의, 해당 노선의 수요 및 공급상황 등은 고려사항이나, 기존 취항 항공사의 '영업이익률' 자체를 보호하거나 기준으로 삼아 심사하는 규정은 없다."
47,현행 항공사업법령상 항공정책기본계획 수립에 대한 설명으로 가장 옳지 않은 것은?,,국토교통부장관은 항공정책기본계획을 5년마다 수립하여야 한다.,항공정책기본계획을 수립하거나 변경하려는 경우 원칙적으로 관계 중앙행정기관의 장과 협의한 후 항공정책위원회의 심의를 거쳐야 한다.,항공정책기본계획의 내용 중 '항공사업 등 항공산업의 육성에 관한 사항'은 중요한 사항의 변경에 해당하므로 반드시 변경 심의를 거쳐야 한다.,"항공정책기본계획의 부문별 계획 중 하나라도 변경하려는 경우에는, 그 내용이 아무리 경미하더라도 반드시 항공정책위원회의 심의를 다시 거쳐야 한다.",4,"[출처: 항공사업법 제3조, 시행령 제2조] 국토교통부장관은 기본계획을 변경하려는 경우에도 위원회 심의를 거쳐야 하나, '대통령령으로 정하는 경미한 사항을 변경하는 경우'에는 심의를 거치지 아니할 수 있도록 예외 규정을 두고 있다. (예: 부분적이고 세부적인 사항의 단순 변경 등)"
48,현행 항공사업법상 위반행위별 법정형(벌칙) 연결이 잘못된 것은?,,거짓이나 그 밖의 부정한 방법으로 국제항공운송사업 면허를 받은 자 : 3년 이하의 징역 또는 3천만원 이하의 벌금,외국인 지분 제한 등 결격사유를 위반하여 실질적으로 외국인 등이 국내항공운송사업을 지배하게 한 자 : 3년 이하의 징역 또는 3천만원 이하의 벌금,사업정지명령을 위반하여 정지기간에 사업을 경영한 자 : 1년 이하의 징역 또는 1천만원 이하의 벌금,정당한 사유 없이 재무구조 개선명령을 이행하지 아니한 자 : 1년 이하의 징역 또는 1천만원 이하의 벌금,4,[출처: 항공사업법 제78조 및 제84조] 정당한 사유 없이 재무구조 개선명령을 이행하지 아니한 경우는 징역/벌금형 대상이 아니라 '1천만원 이하의 과태료' 부과 대상이다.
49,현행 항공사업법령상 비행훈련업의 등록기준 중 자본금(자산평가액) 요건으로 옳은 것은?,,"법인은 납입자본금 3억원 이상, 개인은 자산평가액 4억5천만원 이상","법인은 납입자본금 1억원 이상, 개인은 자산평가액 1억5천만원 이상","법인은 납입자본금 5천만원 이상, 개인은 자산평가액 5천만원 이상",자본금 또는 자산평가액에 대한 별도의 법정 최소 기준액 없음,4,"[출처: 항공사업법 시행령 별표 4, 8, 9, 10 등] 항공기사용사업, 레저스포츠사업, 대여업 등은 자본금 기준이 명확히 있으나, '비행훈련업'(법 제48조제2항 등)의 등록 기준에는 훈련용 항공기, 인력 요건, 보증보험 가입 요건 등은 존재하지만 명시적인 '최소 자본금 금액(억원 등)' 요건은 별도로 요구하지 않는다(또는 초경량비행장치사용사업 등의 3천만원 기준과 혼동을 유발하는 함정이다). 단, 비행훈련업이 항공기사용사업 등을 겸할 경우 해당 사업의 기준을 충족해야 함."
50,현행 항공사업법령상 항공운송사업자가 보고하여야 하는 '항공운송사업 운영에 관한 중요 사항'에 해당하지 않는 것은?,,총자산 대비 100분의 5 이상에 해당하는 규모의 자산 취득 또는 처분결정,항공운송사업자의 대표이사 또는 등기임원의 변경,영업활동의 전부 또는 일부의 정지,일상적인 노선별 월간 여객 탑승률 및 화물 적재율,4,"[출처: 항공사업법 제61조 및 시행규칙 제65조] 총자산 대비 대규모(5% 이상) 자산 취득/처분, 법인합병, 영업활동 정지 등 경영상 중대한 변화는 지체 없이 보고해야 한다. 일상적인 월간 탑승률 실적 등은 통계 목적으로 정기 제출할 수는 있으나, '법령상 즉시 보고해야 하는 경영상의 중요 사항'으로 분류되지는 않는다."
51,현행 항공사업법령상 '항공기사용사업'의 운임 및 요금에 대한 규제로 가장 적절한 것은?,,모든 항공기사용사업자는 요금을 정하여 시행하기 30일 전까지 국토교통부장관의 인가를 받아야 한다.,모든 항공기사용사업자는 요금을 정할 때마다 예외 없이 국토교통부장관에게 신고하여야 한다.,항공기사용사업의 요금은 시장 자율에 맡겨져 있어 별도의 신고나 인가 규정이 전혀 없다.,항공기사용사업 중 산불 진화 등 국가기관의 업무를 대행하는 경우에 한하여 운임을 신고하도록 규정하고 있다.,3,"[출처: 항공사업법 제14조, 제45조 등] 운임 및 요금의 인가/신고 제도는 '항공운송사업(국제/국내/소형)'에 규정되어 있다. 농약 살포, 사진 촬영 등을 하는 '항공기사용사업'의 운임/요금에 대해서는 항공사업법상 별도의 신고나 인가 의무가 법정되어 있지 않다."
52,현행 항공사업법령상 과태료 부과 시 그 위반행위의 횟수에 따른 가중처분 기준에 대한 설명으로 옳은 것은?,,가중처분의 적용 기간은 해당 위반행위에 대하여 과태료 부과처분을 한 날과 그 처분 후 다시 같은 위반행위를 적발한 날을 기준으로 1년으로 한다.,가중처분 기준은 최근 3년 이내에 같은 위반행위를 적발한 경우에만 적용된다.,"위반행위 횟수 산정 시, 과태료 부과 처분을 받은 자가 6개월 이내에 동일한 위반행위를 한 경우에는 무조건 3회 위반으로 간주한다.",위반행위 횟수 산정은 적발된 날을 기준으로 최근 5년 이내의 모든 위반행위를 합산한다.,1,[출처: 항공사업법 시행령 별표 11 과태료의 부과기준] 일반기준에 따르면 과태료 가중처분에 적용되는 위반 횟수 산정은 부과처분을 한 날과 다시 같은 위반행위를 적발한 날을 각각 기준으로 하여 '최근 1년' 동안 동일 위반행위를 한 경우에 적용한다.
53,현행 항공사업법령상 국내항공운송사업자의 여객 운송약관에 반드시 포함되어야 할 사항으로 규정되어 있지 않은 것은?,,"수하물의 종류, 중량, 부피 등에 따른 운송 제한사항","항공기 지연, 결항 등에 따른 환불 및 배상 기준",승객의 탑승 수속 시간 및 탑승 거절에 관한 사항,자사 소속 조종사 및 객실승무원의 인건비 산정 기준,4,"[출처: 항공사업법 시행규칙 제15조] 운송약관에는 운임의 환불, 수하물 규정, 면책사항, 지연/결항에 따른 배상, 탑승 수속 등에 관한 사항이 포함되어야 하지만, 해당 항공사의 내부 임금 산정 기준을 운송약관에 포함해야 할 법적 이유는 전혀 없다."
54,현행 항공사업법상 국토교통부장관이 도심공항터미널업의 등록을 반드시 취소하여야 하는 사유가 아닌 것은?,,거짓이나 부정한 방법으로 신고를 한 경우,사업신고 기준에 미달하게 된 날부터 2개월이 경과한 경우,법인의 임원이 결격사유에 해당하게 되었으나 3개월 이내에 개임하지 아니한 경우,사업을 폐업한 경우 (폐업신고),2,[출처: 항공사업법 제54조 및 등록·신고취소 관련 공통기준] 도심공항터미널업 등 신고사업에서 기준 미달 시 취소할 수 있는 조건(또는 기속적 요건 편입)은 미달된 날부터 '3개월' 이내에 그 기준을 충족하지 아니한 경우이다. 2개월 경과는 아직 유예기간 내에 속한다.
55,현행 항공사업법령상 항공기대여업자가 대여할 수 있는 항공기의 요건에 관한 설명으로 가장 적절한 것은?,,조종사가 탑승하지 않은 상태로 항공기를 대여하는 것은 절대 불가하다.,항공기대여업의 대여 대상 항공기에는 「항공안전법」에 따른 운항증명을 발급받아야만 운항할 수 있는 대형 여객기도 제한 없이 포함된다.,"항공기대여업은 타인의 수요에 맞추어 유상으로 항공기를 대여해주는 사업이나, 여객 또는 화물의 운송을 포함하여 계약하는 것은 허용되지 않는다.",항공기대여업자는 대여용 항공기에 대해 반드시 자차보험 성격의 종합보험을 가입해야 하며 책임보험 가입만으로는 대여가 불가하다.,3,[출처: 항공사업법 제2조 정의 및 제47조] 항공기대여업은 항공기 자체를 대여하는 사업이다. 대여업자가 직접 '여객 또는 화물의 운송' 서비스를 제공하는 형태로 영위하는 것은 항공운송사업에 해당하므로 대여업의 범위를 벗어난다. (운송이 포함되지 않은 순수 대여/리스 목적)
56,현행 항공사업법령상 외국인 국제항공운송사업자가 대한민국에서 사업을 영위할 때 준수해야 할 사항으로 옳지 않은 것은?,,대한민국을 출도착지로 하는 여객의 운송 시 항공교통이용자 보호를 위한 피해구제계획을 제출해야 한다.,대한민국을 출도착지로 하는 국제선 항공권을 판매하는 경우 항공운임 등 총액에 관한 정보를 제공해야 한다.,외국인 국제항공운송사업자는 대한민국 내에서 발생하는 항공사고에 대비하여 대한민국 정부가 지정하는 국내 보험사의 책임보험에 반드시 가입해야 한다.,인가를 받거나 신고한 운송약관을 영업소 또는 인터넷 홈페이지 등에 비치하거나 게시해야 한다.,3,"[출처: 항공사업법령 전반 보험규정] 항공운송사업자 및 외국인 국제항공운송사업자는 법령 및 국제협약에 적합한 일정 수준 이상의 책임보험 등(승객, 제3자 배상 등)에 가입할 의무는 있으나, 반드시 '대한민국 정부가 지정하는 국내 보험사'에 가입해야 한다는 명시적 강제 조항은 없다."
57,현행 항공사업법령상 '초경량비행장치사용사업'에 포함되는 업무로 가장 적절한 것은?,,군사 목적으로 무인비행장치를 사용하여 지형을 정찰하는 업무,타인의 수요에 맞추어 유상으로 무인멀티콥터(드론)를 이용하여 방제(농약 살포)를 하는 업무,세관 업무를 위해 국가기관이 초경량비행장치를 사용하여 밀수를 단속하는 업무,개인이 취미용으로 보유한 무인비행장치로 풍경 사진을 촬영하여 개인 블로그에 비영리로 게시하는 행위,2,"[출처: 항공사업법 시행규칙 제49조 등 및 제2조 정의] 초경량비행장치사용사업은 '타인의 수요에 맞추어 유상으로' 초경량비행장치를 사용하여 농약살포, 사진촬영 등을 하는 사업이다. 군사, 세관 등 국가기관의 공공목적 업무나 비영리 취미활동은 제외된다."
58,"현행 항공사업법령상 항공사업의 인가 및 허가 등의 '수수료' 부과 대상으로 규정되어 있지 않은 것은? (단, 전자적 방법 신청에 따른 감면은 고려하지 않음)",,국내항공운송사업의 면허 신청,항공기사용사업의 등록 신청,항공기취급업의 신고,항공운송사업자의 항공안전 투자실적 및 계획 공시,4,"[출처: 항공사업법 제71조 수수료 규정] 면허, 허가, 인가, 등록, 신고 등의 신청 시에는 수수료를 납부해야 하나, '항공안전 투자실적 및 계획 공시(제59조의2)'는 사업자가 의무적으로 인터넷 홈페이지 등에 공시하는 행위일 뿐 국가에 인허가를 신청하는 절차가 아니므로 수수료 납부 대상이 아니다."
59,현행 항공사업법령상 지방항공청장에게 위임된 국토교통부장관의 권한이 아닌 것은?,,국내항공운송사업 운임의 신고 수리,초경량비행장치사용사업의 등록 및 변경등록 수리,항공기취급업의 신고 수리,국제항공운송사업 면허의 취소,4,"[출처: 항공사업법 시행령 제26조 권한의 위임·위탁] 소형항공운송사업, 항공기사용사업, 취급업, 초경량비행장치사용사업 등에 관한 권한(등록, 신고 등)과 국내선 운임 신고 수리 등은 지방항공청장에게 위임되어 있으나, '국제항공운송사업'과 '국내항공운송사업'의 면허 발급 및 취소와 같은 중대한 권한은 본부(국토교통부장관)의 권한으로 남아 있다."
60,"현행 항공사업법령상 항공교통사업자의 피해구제 절차 중, 한국소비자원에 이관된 민원의 처리에 관한 설명으로 가장 적절한 것은?",,한국소비자원은 이관받은 피해구제 신청을 접수한 날부터 10일 이내에 항공교통사업자에게 시정명령을 내려야 한다.,항공교통사업자는 항공교통이용자의 피해구제 신청에 대하여 합의가 이루어지지 않은 경우 이용자 동의를 거쳐 한국소비자원에 피해구제를 신청할 수 있도록 안내하여야 한다.,항공교통사업자가 자체적으로 14일 이내에 민원을 처리하지 못하면 해당 민원은 자동적으로 한국소비자원으로 즉시 이관된다.,한국소비자원에 접수된 항공 관련 민원 처리 비용은 전액 해당 항공운송사업자가 부담하여야 한다.,2,"[출처: 항공사업법 시행규칙 제64조 등] 합의가 이루어지지 않는 경우 사업자는 이용자에게 소비자원에 구제를 신청할 수 있음을 안내하여야 한다. 14일 미처리 시 자동 이관된다거나 비용을 사업자가 전액 부담한다는 조항, 10일 이내 시정명령 의무 등은 항공사업법령에 규정되어 있지 않다."
61,현행 항공사업법령상 항공산업발전조합의 설립 및 운영에 관한 설명으로 가장 옳지 않은 것은?,,항공산업발전조합의 출자금 총액 변경등기는 회계연도 종료 후 3개월 이내에 할 수 있다.,조합의 사업에 관한 사항을 심의·의결하기 위하여 두는 운영위원회는 15명 이내의 위원으로 구성한다.,조합원인 운영위원의 수는 전체 운영위원 수의 2분의 1 미만으로 하여야 한다.,조합이 영위하는 보증 및 융자 사업에 대해서는 철저한 재무건전성 관리를 위해 「보험업법」 및 「여신전문금융업법」의 규정을 우선적으로 적용한다.,4,[출처: 항공사업법 제69조의5 제4항] 항공산업발전조합의 사업에 대하여는 「보험업법」 및 「여신전문금융업법」을 적용하지 아니한다고 명시되어 있다.
62,현행 항공사업법령상 권한의 위임 및 위탁에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 국토교통부장관은 항공교통서비스 평가에 관한 업무를 한국교통연구원 또는 항공 관련 기관·단체에 위탁할 수 있다.
ㄴ. 여행업자에 대한 항공운임 등 총액 정보 제공 실태 점검 및 과태료 부과·징수 권한은 지방항공청장에게 위임된다.
ㄷ. 초경량비행장치사용사업의 등록, 사업계획 변경신고, 양도·양수신고 수리 등의 업무는 한국교통안전공단에 위탁한다.
ㄹ. 항공물류정보시스템의 구축·운영 사업은 「한국공항공사법」에 따른 한국공항공사에 위탁한다.","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ",1,"[출처: 항공사업법 시행령 제11조 및 제75조] ㄴ. 여행업자에 대한 운임총액 점검 및 과태료 부과권한은 특별시장·광역시장·특별자치시장·도지사 또는 특별자치도지사(지자체장)에게 위임된다. ㄹ. 항공물류정보시스템은 '인천국제공항공사'에 위탁하며, 상시원격학과시험시스템이 '한국교통안전공단', 항공정보포털이 '한국항공협회'에 위탁된다."
