번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
171,"인공지능(AI) 분야에서 인간의 뇌 신경망 구조를 모방한 인공신경망(ANN)을 다층으로 깊게 구축하여, 컴퓨터가 방대한 데이터 속에서 스스로 패턴을 찾아 학습하는 기술은?",전문가 시스템,딥러닝 (Deep Learning),로보틱스,블록체인,클라우드 컴퓨팅,2,"딥러닝은 머신러닝의 한 분야로, 심층 신경망을 이용하여 이미지 인식, 자연어 처리 등에서 탁월한 성능을 보이는 기술입니다."
172,서로 다른 애플리케이션(프로그램)들이 데이터를 주고받으며 상호 작용할 수 있도록 만들어진 규격이나 인터페이스를 무엇이라 하는가?,OSI 7계층,API (Application Programming Interface),UI (User Interface),DBMS,프로토콜,2,"API는 운영체제나 시스템, 애플리케이션 간에 기능을 제어할 수 있게 해주는 연결 통로(약속된 명령어 세트)입니다."
173,"엑셀에서 조건에 따라 셀의 배경색, 글꼴 색상, 데이터 막대, 아이콘 세트 등을 자동으로 변경하여 데이터의 패턴을 시각적으로 돋보이게 하는 기능은?",데이터 유효성 검사,조건부 서식 (Conditional Formatting),찾기 및 바꾸기,부분합,통합,2,조건부 서식은 설정한 규칙(예: 평균 이상인 값)을 만족하는 셀에만 동적으로 서식을 적용하는 유용한 시각화 도구입니다.
174,윈도우(Windows) 운영체제에서 열려있는 모든 창을 즉시 최소화하고 '바탕화면'을 바로 보여주는 단축키는?,Ctrl + D,Alt + Tab,Windows 로고 키 + D,Windows 로고 키 + E,Ctrl + Shift + Esc,3,"Win + D(Desktop)는 모든 창을 내리고 바탕화면을 표시하며, 다시 누르면 이전 상태로 복구됩니다."
175,"웹 문서를 작성하는 데 사용되는 기본 마크업 언어인 HTML의 최신 표준 규격으로, 별도의 플러그인(ActiveX 등) 없이도 비디오, 오디오 등의 멀티미디어를 재생할 수 있는 것은?",HTML5,XML,CSS,JavaScript,Python,1,HTML5는 웹의 접근성과 멀티미디어 기능을 강화한 차세대 웹 표준 언어입니다.
176,"사용자가 컴퓨터와 상호 작용할 때, 텍스트 명령어를 직접 타이핑하는 방식(CLI)과 달리 마우스나 터치로 아이콘과 메뉴 등 그래픽 요소를 클릭하여 조작하는 환경을 무엇이라 하는가?",DOS,GUI (Graphic User Interface),API,OS,DB,2,"Windows, macOS처럼 직관적인 그래픽을 통해 소통하는 사용자 환경을 GUI라고 합니다."
177,"소스 코드가 공개되어 누구나 자유롭게 복제, 수정, 배포할 수 있는 소프트웨어를 뜻하는 용어는?",상용 소프트웨어,셰어웨어 (Shareware),프리웨어 (Freeware),오픈소스 소프트웨어 (OSS),애드웨어 (Adware),4,"Linux, Android처럼 개발 소스가 개방되어 커뮤니티 주도로 발전하는 소프트웨어를 오픈소스(Open Source)라고 합니다."
178,"정보를 암호화하여 전달할 때, 암호화할 때 사용하는 키(Key)와 복호화(해독)할 때 사용하는 키가 서로 다르게 설계되어 보안성을 높인 암호화 방식은?",대칭키 암호 방식,비대칭키(공개키) 암호 방식,해시 암호,스테가노그래피,치환 암호,2,"비대칭키(공개키) 방식은 누구나 알 수 있는 공개키로 암호화하고, 본인만 아는 개인키로 해독하여 키 분배의 안전성을 확보합니다."
179,"엑셀에서 수식을 계산할 때, 어떤 숫자를 '0'으로 나누려고 시도했을 때 나타나는 오류 메시지는?",#VALUE!,#N/A,#REF!,#DIV/0!,#NAME?,4,"수학적으로 0으로 나누는 것은 불가능하므로, 엑셀에서는 Division by zero를 의미하는 #DIV/0! 오류를 출력합니다."
180,"기존의 1차원 바코드(막대형)보다 훨씬 많은 정보(문자, 숫자, URL 등)를 저장할 수 있으며, 가로세로 두 방향으로 정보를 기록하는 흑백 격자무늬 패턴의 2차원 코드는?",RFID,NFC,QR 코드 (Quick Response Code),바코드,생체인식,3,"QR 코드는 스마트폰 카메라로 쉽게 인식 가능하며 웹사이트 연결, 결제 정보 등 다양한 데이터를 담을 수 있는 2차원 바코드입니다."
181,"예산 관리에서 생산량이나 판매량의 증감과 관계없이 매달 일정하게 발생하는 비용(예: 공장 임대료, 정규직 기본급, 보험료 등)을 무엇이라 하는가?",변동비,고정비 (Fixed Cost),매몰비용,기회비용,한계비용,2,고정비는 조업도의 변화에 상관없이 일정한 금액이 계속 발생하는 원가입니다. 반대로 재료비 등은 변동비입니다.
182,"총수익과 총비용이 같아져서 이익도 손실도 발생하지 않는 시점을 의미하며, 이 시점을 넘어서면 이익이 발생하기 시작하는 판매량 또는 매출액을 무엇이라 하는가?","손익분기점 (BEP, Break-Even Point)",투자수익률 (ROI),한계효용,순현재가치 (NPV),매몰비용,1,손익분기점은 매출액이 고정비와 변동비의 합과 정확히 일치하는 지점으로 사업 타당성 분석의 핵심 지표입니다.
183,"재고 관리 기법 중, 먼저 창고에 들어온 물품(재고)을 먼저 출고하여 사용하는 방식으로 식품이나 의약품 등 유통기한이 있는 물품에 주로 적용하는 것은?",후입선출법 (LIFO),이동평균법,총평균법,선입선출법 (FIFO),개별법,4,선입선출법(First-In First-Out)은 재고의 노후화를 방지하기 위해 입고된 순서대로 출고하는 가장 일반적인 물품 관리 원칙입니다.
184,시간 관리와 관련된 심리학적 법칙 중 '어떤 업무든 그 업무를 완료하도록 주어진(할당된) 시간만큼 업무량이 팽창한다'는 법칙은?,파레토 법칙,머피의 법칙,피터의 법칙,파킨슨의 법칙 (Parkinson's Law),호손 효과,4,"시릴 파킨슨이 주장한 것으로, 마감 기한을 길게 주면 불필요하게 시간을 끌며 일을 부풀린다는 의미로 마감 기한 설정의 중요성을 시사합니다."
185,"집중력을 높이기 위한 시간 관리 기법으로, 타이머를 이용해 25분간 한 가지 업무에 집중하고 5분간 짧게 휴식하는 패턴을 반복하는 기법은?",마인드 매핑,뽀모도로 기법 (Pomodoro Technique),아이젠하워 매트릭스,만다라트,마이크로 매니지먼트,2,"토마토(뽀모도로) 모양의 타이머에서 유래된 기법으로, 짧은 집중과 휴식을 통해 뇌의 피로를 막고 생산성을 높입니다."
186,"기업의 인적 자원 개발 방법 중, 신입사원이나 배치 전환된 직원을 실제 작업 현장에 배치하여 직속 상사나 선배로부터 업무를 수행하며 직접 지도를 받는 훈련 방식은?",Off-JT (직장 외 훈련),"OJT (On-the-Job Training, 직장 내 훈련)",사이버 연수 (e-learning),위탁 교육,워크숍,2,OJT는 일상 업무를 하면서 실무 능력을 배우므로 현장 적응이 빠르고 별도의 훈련장이 필요 없는 장점이 있습니다.
187,"물품이나 기계설비 등 고정자산을 사용할 때, 시간이 지남에 따라 혹은 사용함에 따라 감소하는 가치를 일정한 회계적 방법으로 비용 처리하는 것을 무엇이라 하는가?",재고 조사,감가상각 (Depreciation),매몰비용,유동자산,손상차손,2,"건물, 차량, 컴퓨터 등 시간이 지남에 따라 노후화되어 가치가 떨어지는 것을 장부에 반영하는 절차를 감가상각이라 합니다."
188,"원자재의 구매에서부터 생산, 재고 관리, 유통, 최종 소비자에게 전달되기까지의 전체 물류 흐름을 하나의 연결된 통합 네트워크로 관리하여 효율성을 극대화하는 경영 기법은?",CRM (고객관계관리),"SCM (공급망 관리, Supply Chain Management)",ERP (전사적자원관리),TQM (전사적품질경영),MBO (목표관리),2,SCM은 공급자부터 고객까지의 흐름(Supply Chain)을 최적화하여 리드타임을 줄이고 재고 비용을 절감하는 자원 관리 전략입니다.
189,목표 설정 시 구체적이고 달성 가능한 목표를 세우기 위해 사용하는 'SMART 기법'에서 'M'이 의미하는 것은?,Meaningful (의미 있는),Measurable (측정 가능한),Motivational (동기 부여되는),Manageable (관리 가능한),Multiple (다양한),2,"SMART는 Specific(구체적), Measurable(측정가능), Achievable(달성가능), Relevant(목적연관), Time-bound(기한)의 약자입니다."
190,"제품이나 설비의 기획, 설계, 제조, 운영, 유지보수, 그리고 최종 폐기에 이르기까지 발생하는 모든 비용의 총합을 의미하며, 구매 시 초기 비용뿐만 아니라 유지비용까지 고려하는 자원 관리 개념은?",매몰비용 (Sunk Cost),기회비용 (Opportunity Cost),"LCC (수명주기비용, Life Cycle Cost)",변동비,고정비,3,"조달 및 시설물 관리에서 싸게 샀어도 유지/수리비가 많이 들면 비효율적이므로, 초기 구매비와 런닝 코스트를 합친 LCC 관점에서 평가해야 합니다."
191,"인적 자원 평가 시, 특정 대상의 한 가지 우수한 특성(예: 외모, 학벌)이나 긍정적인 인상이 그 사람의 다른 모든 특성이나 업무 능력까지도 긍정적으로 평가하게 만드는 인지적 오류는?",관대화 경향,중심화 경향,가혹화 경향,후광 효과 (Halo Effect),최근 효과,4,후광 효과(헤일로 이펙트)는 한 부분의 빛(장점)이 다른 부분까지 덮어버려 객관적 인물 평가를 방해하는 오류입니다.
192,"과거의 예산 배정액을 기준으로 점진적으로 증감하여 예산을 짜는 방식을 탈피하여, 매년 모든 사업과 항목의 예산을 '0(Zero)'의 상태에서 근본적으로 재검토하여 우선순위에 따라 배정하는 예산 제도는?",품목별 예산제도,성과주의 예산제도,"영기준 예산제도 (ZBB, Zero-Base Budgeting)",계획 예산제도,목표관리 예산제도,3,ZBB는 관행적인 예산 낭비를 막기 위해 기득권을 인정하지 않고 원점에서 사업의 타당성을 심사하여 예산을 분배합니다.
193,"현대 조직 구조 중 기능 부서(예: 영업부, 재무부)의 전문성과 프로젝트 팀(예: A신제품 개발팀)의 유연성을 결합한 형태로, 한 직원이 두 명의 상사에게 보고하는 이중 보고 체계를 가지는 조직은?",라인 조직,스태프 조직,사업부제 조직,매트릭스 조직 (Matrix Organization),아메바 조직,4,매트릭스(행렬) 조직은 인적 자원을 프로젝트별로 탄력적으로 활용할 수 있으나 명령 통일의 원칙이 위배되어 갈등이 생길 수 있습니다.
194,관리자가 하급자에게 업무를 위임할 때 지켜야 할 원칙 중 틀린 것은?,업무 수행에 필요한 권한을 책임과 함께 동등하게 위임해야 한다. (권한과 책임의 동등 원칙),수행 결과에 대한 최종적인 책임은 위임자(관리자)가 진다.,명확한 목표와 기한을 설정해 주어야 한다.,위임한 업무에 대해서는 일절 간섭하지 않고 방치해야 한다.,하급자의 능력과 적성을 고려하여 적절한 업무를 부여한다.,4,"위임을 하더라도 중간 점검과 적절한 피드백(통제)은 필요하며, 방임(방치)하는 것은 올바른 자원(인력) 관리가 아닙니다."
195,물적 자원 관리에서 비품이나 장비가 원래의 용도대로 사용될 수 있는 법적 또는 경제적 한계 수명(사용 가능 기간)을 뜻하는 용어는?,보증 기간,유통 기한,소멸 시효,내구 연한 (Useful Life),재고 회전율,4,"물품관리법 등에서 정하는 내구연한은 자산의 수명을 의미하며, 이 기간이 지나면 폐기하거나 감가상각이 완료됩니다."
196,시간 자원을 관리할 때 업무의 효율성을 떨어뜨리는 '시간 도둑(Time wasters)' 중 외부적 요인에 해당하는 것은?,완벽주의 성향,미루는 습관 (Procrastination),거절하지 못하는 성격,정리정돈 불량,갑작스러운 상사의 호출이나 불필요하고 잦은 회의,5,"시간 도둑은 내적 요인(성격, 습관)과 외적 요인(환경, 타인)으로 나뉘며, 잦은 회의나 외부 방해는 대표적인 외적 요인입니다."
197,인적 자원을 배치할 때 직무의 요구 조건과 개인의 능력/적성이 가장 잘 부합하는 자리에 사람을 배치하여 능력을 최대한 발휘하게 하는 원칙은?,선착순 배치의 원칙,적재적소의 원칙,연공서열의 원칙,순환보직의 원칙,지역안배의 원칙,2,적재적소(Right person in the right place)는 인적 자원 관리의 가장 기본적이고 핵심적인 원칙입니다.
198,"기업 전반의 모든 경영 활동(생산, 영업, 재무, 인사 등)을 하나로 통합하여 실시간으로 기업 자원의 흐름을 관리하고 의사결정을 돕는 전산 정보 시스템은?",CRM (고객관계관리),SCM (공급망관리),KMS (지식관리시스템),"ERP (전사적 자원 관리, Enterprise Resource Planning)",EDI (전자문서교환),4,ERP는 기업 내 부서 간의 정보 단절을 없애고 통합된 데이터베이스를 바탕으로 물적/재무적/인적 자원을 전사적으로 관리하는 시스템입니다.
199,"하루 24시간을 운영해야 하는 공항이나 병원 등에서 3조 2교대, 4조 3교대 등의 근무표를 짤 때 인적 자원 보호를 위해 가장 중요하게 고려해야 하는 법적/생리적 제약 조건은?",모든 직원이 동일한 시간대의 식당 메뉴를 먹을 수 있도록 할 것,출퇴근 시 대중교통의 혼잡도만 고려할 것,야간 근로 연속 일수 제한 및 근무조 전환 시 최소 휴식 시간(예: 11시간 이상) 보장,급여 정산을 쉽게 하기 위해 무조건 주간 근무만 배치할 것,직원들의 혈액형을 고려할 것,3,"교대 근무표 편성 시 근로기준법상 연장 한도, 야간근무 제한, 다음 근로일까지의 연속 휴식 시간 보장 등 인적 자원의 피로 회복이 1순위 조건입니다."
200,"도요타 생산방식(TPS)에서 정의하는 '7대 낭비(Waste)' 중 가장 나쁜 낭비로 꼽히며, 수요를 초과하여 물건을 만들어내어 재고 유지비와 공간 부족을 야기하는 낭비는?",대기의 낭비,운반의 낭비,동작의 낭비,과잉 생산의 낭비,불량의 낭비,4,"필요 이상으로 빨리/많이 만드는 '과잉 생산의 낭비'는 다른 모든 낭비(재고, 운반, 공간)를 유발하는 최악의 자원 낭비로 간주됩니다."
