번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
62,이륙하는 항공기가 초기 상승을 위해 사용하는 개방구역(Clearway)의 최대 길이는 연결된 가용 이륙활주거리(TORA)의 어느 정도를 초과할 수 없는가?,1/4,1/3,1/2,3/4,제한 없음,3,비행기의 안전한 상승 궤적 및 속도 확보를 위해 개방구역의 길이는 산정된 TORA 길이의 2분의 1(50%)을 초과할 수 없습니다.
63,"활주로 가장자리 표지(Runway side stripe marking)의 색상은 무엇이며, 활주로 폭이 몇 미터 이상일 때 반드시 설치해야 하는가?","황색, 30m 초과","백색, 30m 초과","녹색, 45m 초과","백색, 60m 초과","적색, 15m 초과",2,"활주로 관련 표지는 모두 백색이며, 시인성 확보를 위해 포장 활주로 폭이 30m를 초과하는 경우 양쪽 가장자리에 연속된 실선을 그어야 합니다."
64,제빙/방빙 시설(De-icing pad)의 최적 위치를 선정할 때 가장 중요하게 고려해야 할 사항은?,여객터미널 탑승구와 최대한 가까울 것,지하 유류 저장소와 직접 연결될 것,처리 후 지속시간(Holdover time)이 초과되지 않도록 가능한 한 이륙 지점(활주로 시단)과 가깝게 배치,공항 외부 고속도로와 가까울 것,면세점 하역장 근처,3,방빙 용액을 뿌린 후 얼음이 다시 얼기 전(Holdover time 이내)에 비행기가 이륙할 수 있도록 활주로 시단 근처에 제방빙 구역을 두는 것이 가장 이상적입니다.
65,"계류장에서 항공기를 정확한 위치로 유도하기 위해 그리는 주기장 진입선, 회전선, 정지선(Stand lead-in line)의 기본 색상은?",백색,적색,청색,황색,녹색,4,유도로 및 주기장 등 항공기의 지상 활주 경로를 안내하는 모든 기본 표지선(Centerline 등)은 황색으로 도색됩니다.
66,유도로가 교차하는 지점에서 한 유도로의 통행을 일시적으로 대기시키기 위해 그리는 '중간대기위치표지(Intermediate holding position marking)'의 형태는?,2개의 연속된 실선,지그재그형 백색 점선,단일의 끊어진(파선) 황색 선,적색 십자가 무늬,황색 다이아몬드 무늬,3,"활주로 대기위치가 아닌, 유도로 간 교차점 등에서의 일반적인 중간대기위치는 한 줄의 황색 파선(점선)으로 표시됩니다."
67,관제탑(Control Tower)의 탑승실(Cab) 창문은 주야간 활주로 시야를 방해하는 반사율을 최소화하기 위해 수직면을 기준으로 보통 바깥쪽으로 몇 도 정도 기울여서 설계하는가?,0도 (수직),5도,15도 내외,45도,60도,3,계기판의 불빛이나 외부 광원의 유리를 통한 난반사를 줄이고 빗물을 쉽게 흘려보내기 위해 관제탑 창문은 통상 바깥쪽으로 15도 정도 기울어지게 설계합니다.
68,이륙을 포기한 항공기를 지지하기 위해 활주로 끝단에 설치하는 정주대(Stopway)의 포장 강도 조건으로 옳은 것은?,잔디만 심어져 있으면 강도 무관,활주로 포장 강도의 10% 수준,비행기가 이륙을 단념하고 제동할 때 포장면이 파손되지 않고 항공기 중량을 지지할 수 있는 구조적 강도 확보,ACN 100 이상의 초고강도 콘크리트 의무,단순 자갈밭 구조,3,"정주대는 비상 정지 시 육중한 비행기의 하중과 강한 제동력을 견뎌야 하므로, 해당 항공기를 무리 없이 지지할 수 있는 강도를 갖춰야 합니다."
69,"활주로나 주요 유도로의 예정된 보수 공사로 인해 시설 이용이 제한될 경우, 해당 정보(NOTAM)는 가급적 며칠 전에 항공정보업무기관에 통보하여 발송해야 하는가? (단기 공사 기준)",당일 1시간 전,3일 전,최소 7일 전,30일 전,60일 전,3,"항공사 및 조종사가 사전에 스케줄과 연료량 등을 조정할 수 있도록, 예정된 유지보수 작업 공지는 최소 7일 전에 NOTAM으로 발송하는 것이 원칙입니다."
70,이동지역 내 외래이물질(FOD) 수거함의 관리 및 설치 기준으로 가장 부적절한 것은?,시인성이 높은 색상(노란색 등)으로 도색한다.,조업 지역 곳곳에 쉽게 접근할 수 있도록 배치한다.,바람에 의해 수집된 쓰레기가 다시 날리지 않도록 덮개(뚜껑)를 반드시 설치한다.,항공기 엔진 후류(Jet blast)에 날아가지 않도록 바닥에 단단히 고정하거나 무겁게 제작한다.,비우기 쉽게 뚜껑을 완전히 개방해 둔 채로 방치한다.,5,FOD 수거함은 이물질이 계류장으로 다시 날아가는 것을 막기 위해 반드시 밀폐되거나 뚜껑이 닫힌 상태를 유지해야 합니다.
71,"이설시단(Displaced threshold)이 설치된 활주로에서, 시단 위치를 조종사에게 더 명확히 알려주기 위해 활주로 시단 가장자리 바깥쪽에 추가로 설치하는 시단익등(Wing bar lights)의 색상은?",백색,황색,녹색,적색,청색,3,시단등과 마찬가지로 시단익등(Wing bar lights) 역시 접근하는 항공기를 향해 착륙 가능 지점의 시작을 알리는 녹색 불빛을 냅니다.
72,"코드문자 E 항공기가 이용하는 고속탈출유도로(Rapid exit taxiway)의 중심선 곡선반경은, 비행기가 시속 약 93km(50kts)로 안전하게 활주로를 빠져나갈 수 있도록 최소 얼마 이상으로 설계되는가?",275m,300m,550m,"1,000m","2,000m",3,"코드 3,4(주로 D, E, F)를 위한 고속탈출유도로의 곡선반경은 93km/h의 탈출 속도를 보장하기 위해 통상 550m 이상으로 설계됩니다."
73,활주로 중심선등이나 접지구역등과 같은 중요한 시각지원시설에 단일 케이블이나 회로에 장애가 발생하더라도 전체 등화가 꺼지지 않도록 교대로 배선하는 방식을 무엇이라 하는가?,직렬배선,단일루프 배선,인터리브(Interleaved) 교대 배선,병렬 브리지 배선,랜덤 배선,3,"인터리브 회로는 2개 이상의 전원 회로를 교대로 연결하여, 하나의 회로가 차단되더라도 등화가 절반(또는 부분)만 꺼져 최소한의 시각 유도를 유지하는 시스템입니다."
74,"활주로 하루 운항 횟수(터치다운 횟수)가 210회 이상인 매우 분주한 공항(코드 4)의 경우, 활주로 표면 마찰특성을 측정하는 최소 권장 주기는?",매 10년마다,매 1년마다,매 6개월마다,매 1~2개월마다 (또는 주 1회 이상),비가 올 때만 1회,4,이착륙 빈도가 높은 공항은 고무 침적(Rubber deposit)이 매우 빠르게 진행되므로 1~2개월 간격의 정기적인 마찰 측정 장비 테스트가 필요합니다.
75,"장애물 제한표면 중 전이표면(Transitional surface)의 상향 경사도는 비행장 코드번호 3, 4의 경우 기본적으로 얼마의 비율로 설정되는가?",5% (1:20),10% (1:10),14.3% (1:7),20% (1:5),50% (1:2),3,"착륙대 측면에서 수평표면까지 경사지게 올라가는 전이표면의 기울기는 코드 3,4 기준 14.3%(비율 1:7)로 제한됩니다."
76,"정밀진입등시스템(CAT-I)에서 조종사에게 수평적 자세 정보(Roll guidance)를 제공하기 위해, 활주로 시단으로부터 300m 떨어진 위치에 진입등 중심선을 가로질러 설치하는 가로 형태의 등화 배열을 무엇이라 하는가?",시단등 (Threshold lights),종단등 (End lights),크로스바 (Crossbar),플래시등 (Sequence flashing lights),경계등 (Guard lights),3,"시단 전방 300m 지점에 넓게(보통 30m 폭) 가로로 배열되는 백색 등화를 크로스바라고 하며, 수평 기준을 잡는 데 도움을 줍니다."
77,"정밀접근활주로(코드번호 3,4)의 착륙대(Strip) 내에서 활주로를 포함하여 포장, 지반 다짐, 잔디 식재 등을 통해 지면을 평탄하게 다져놓아야 하는 '정지구역(Graded area)'의 폭은 활주로 중심선으로부터 최소 얼마 이상이어야 하는가?",45m,60m,75m,150m,300m,3,"착륙대 전체 폭은 150m(중심선 양쪽 150m씩 총 300m)이나, 이탈 시 직접 충격을 흡수하도록 평탄화(Graded)해야 하는 핵심 구역은 양쪽 75m(총 150m) 폭입니다."
78,공항 내에서 타이어가 펑크 나거나 바퀴가 빠져 주행이 불가능해진 '기동불능 항공기'를 활주로에서 신속히 견인 및 복구하기 위해 공항운영자가 확보해야 하는 대표적인 이동복구(Disabled Aircraft Removal) 장비가 아닌 것은?,공압식 인양 에어백 (Pneumatic Lifting Bags),항공기 견인용 대형 트랙터(토잉카),이동용 트레일러 및 슬링(Sling) 장비,임시 도로 부설용 매트 (Track mat),고정식 콘크리트 타설기,5,"콘크리트 타설기는 토목 공사용 장비이며, 손상된 항공기를 띄우고 끌어내기 위한 에어백, 크레인, 슬링, 매트 등이 핵심 이동복구 장비입니다."
79,"기동지역 내에서 차량이나 장비가 유도로를 횡단하고자 할 때, 현재 유도로에서 이동(활주) 중인 항공기와의 최소 통행 안전거리 규정은?",항공기 전방 50m 이내로 신속히 가로지른다.,항공기 꼬리 바로 뒤쪽 10m 위치에서 따라간다.,일반 교통법규에 따라 차량이 우선 통행한다.,"차량은 항공기 이동 경로에 절대 자의적으로 진입할 수 없으며, 전적으로 관제탑의 사전 무선 허가 및 지시에 따라야 한다.",안전거리 5m만 확보하면 자율 주행한다.,4,"이동지역 내 통행 우선권은 무조건 항공기에게 있으며, 차량은 항공기의 활주를 방해할 수 없고 진입/횡단 시 관제 지시를 엄수해야 합니다."
80,공항의 조류 및 야생동물 충돌 위험성 평가(Risk Assessment)는 공항 환경과 생태계 변화를 반영하기 위해 보통 얼마의 주기로 갱신하여 수행하는가?,1개월,6개월,1년,5년,10년,3,"야생동물의 개체 수, 이동 경로, 서식 환경 변화 및 충돌 통계를 분석하기 위해 위험성 평가는 연 단위(1년)로 정기 갱신하는 것이 표준입니다."
81,활주로 이착륙 경로 상에 갑작스럽게 발생하는 하강기류(Microburst)나 풍향/풍속의 급변을 감지하여 관제탑과 조종사에게 경고를 발송하는 공항 기상 장비는?,PAPI (진입각지시등),LLWAS (저고도 윈드시어 경고장치),ASDE (지상감시레이더),ILS (계기착륙시설),VDGS (주기유도시스템),2,LLWAS(Low-Level Wind Shear Alert System)는 공항 주변에 설치된 여러 개의 풍향풍속계를 통해 윈드시어(Wind shear)를 탐지하는 장비입니다.
82,"이동지역 내 야간 보수 공사 시, 항공기나 다른 차량이 공사 구역에 진입하는 것을 막기 위해 작업구역 가장자리에 연속적으로 설치해야 하는 시각적 경고 시설은?",청색 고정 가장자리등,적색의 장애물등 및 반사지가 부착된 꼬깔콘(라바콘) 또는 안전 드럼,녹색 섬광등,대형 플래카드,흑색 펜스,2,야간 공사 구역은 시인성이 높은 적색 장애물등과 반사 재질의 바리케이드/드럼을 사용하여 작업 구역의 경계를 명확히 분리해야 합니다.
83,"공항 구조소방대가 사용하는 출동로(비상접근도로) 상에 교량이나 복개구조물이 있을 경우, 이 구조물들은 최소한 어떤 하중을 견딜 수 있도록 설계 및 유지되어야 하는가?",일반 승용차 하중 (약 2톤),여객 버스 하중 (약 15톤),공항에 배치된 구조소방차 중 가장 무거운 차량의 최대 축하중 및 총 하중 이상,항공기 B747 하중 (약 400톤),보행자 하중 전용,3,"폼(물)을 가득 실은 구조소방차는 수십 톤에 달하므로, 비상도로의 교량은 지연 없이 통과할 수 있도록 소방차의 최대 하중을 충분히 지지해야 합니다."
84,"야간에 IFR(계기비행) 뿐만 아니라 VFR(시계비행)을 하는 조종사도 활주로 진입 전 대기위치를 명확히 식별할 수 있도록, 활주로 지정 표지판(명령표지판)의 시인성 확보 의무 규정은?",내부 조명 방식(Illuminated internally)으로 설치하여 자체 발광해야 한다.,형광 페인트만 칠해두면 된다.,차량의 전조등 빛을 반사하는 반사지로만 만든다.,야간에는 표지판 대신 사람을 세워 야광봉을 흔든다.,조명 설치는 권고사항일 뿐 필수는 아니다.,1,야간 운영 비행장의 중요 명령표지판(활주로 진입 등)은 야간/저시정 상황에서도 글씨와 배경색이 선명히 보이도록 반드시 내부에 조명을 설치해야 합니다.
85,공항 보호구역(이동지역 포함)에 정규적으로 출입하며 차량을 운전하려는 자가 출입증(패스) 발급 및 차량운전승인을 받기 전 반드시 이수해야 하는 2가지 핵심 법정 교육은?,기내식 서비스 교육 및 예절 교육,항공보안 교육 및 이동지역 안전(운전) 교육,소방 펌프차 조작 교육 및 구급 교육,레이더 관제 통신 교육 및 정비 교육,면세점 판매 교육 및 외국어 교육,2,이동지역 운전을 위해서는 공항의 보안 절차를 숙지하는 '항공보안 교육'과 기동지역 지리/통신/규칙을 배우는 '이동지역 안전(차량운전) 교육'이 필수입니다.
86,공항 진입 구역에 위치한 철탑이나 송신탑과 같은 '뼈대 구조(Framework)'형 장애물을 주간에 시각적으로 식별할 수 있도록 도색하는 표준 방식은?,전체 흑색 도색,단일 백색 도색,항공오렌지색(또는 적색)과 백색이 교대로 나타나는 띠(Band) 무늬 또는 체크 무늬,국방색 카모플라쥬 도색,투명 코팅 처리,3,뼈대형 또는 대형 입체 장애물은 배경과 명확히 대비되도록 오렌지색/백색 띠를 일정 간격으로 교대 도색하는 것이 국제 표준입니다.
87,활주로 시단표지(Threshold marking)를 구성하는 피아노 건반 모양의 세로줄(띠) 1개의 폭(너비)은 일반적으로 얼마 내외로 규정되어 있는가?,0.5m,1.8m 내외 (또는 띠와 띠 사이 간격과 유사하게 배분),5.0m,10.0m,활주로 폭의 1/2,2,"시단표지를 구성하는 각 띠의 폭은 약 1.8m 내외이며, 띠 사이의 간격 또한 약 1.8m로 배치하되 활주로 중앙의 틈은 더 넓게(약 3.6m 이상) 둡니다."
88,"비상 상황 출동을 마친 구조소방차가 소모한 소화약제(물, 폼액, 분말)를 100% 다시 충전하여 즉시 출동 가능한 대기 상태로 복구하는 데 소요되는 시간에 대한 규정 개념은?",최대 24시간 이내,최소 1주일의 회복 기간,차량별 자체 보충 설비 및 소화전 등을 통해 지체 없이(As rapidly as possible) 충전하여 공항 운영 중단 시간을 최소화해야 함,다음 정기 소방 점검 시까지 천천히 보충,복구 시간의 제한은 전혀 없음,3,"소방력이 미달하면 비행장 운영(등급)이 제한되므로, 신속한 약제 보충을 위한 급수탑/예비 약제를 갖추고 지체 없이 충전 상태를 복원해야 합니다."
89,"겨울철 활주로 표면에 쌓인 오염물 중, 그 두께가 몇 mm 이상일 때부터 활주로 표면 상태 평가를 통해 제설 작업 또는 특별한 공시(SNOWTAM)가 요구되는 '진창눈(Slush) 또는 젖은 눈(Wet snow)'의 기준 깊이는?",1mm,3mm 이상,10mm 이상,20mm 이상,50mm 이상,2,"건조한 눈(Dry snow)은 20mm, 젖은 눈과 진창눈(Slush)은 3mm 이상 쌓일 경우 비행기 이착륙 제동거리에 큰 영향을 미치므로 중요 공시 및 제설 대상이 됩니다."
90,"야간에 비계기(VFR) 활주로로 운영되는 비행장에서 활주로 가장자리등과 시단등에 전력을 공급하는 상용 전원이 끊어졌을 때, 예비 전원으로 전환되는 최대 허용 시간은?",1초 이내,5초 이내,15초 이내,60초 이내,전환 장치 불필요,3,"정밀접근(CAT-I, II, III)은 1초~15초로 매우 엄격하지만, 비계기(VFR) 활주로의 경우 상용 전원 차단 시 예비 전원 전환 시간이 최대 15초 이내면 허용됩니다."
91,"포장 강도를 보고하는 ACN-PCN 체계에서, 노상(Subgrade)의 강도를 평가하는 카테고리 'A, B, C, D' 중 'C'가 의미하는 지지력 수준은?",매우 높음 (High),중간 (Medium),낮음 (Low),초저강도 (Ultra Low),측정 불가,3,"노상 강도는 A(High), B(Medium), C(Low), D(Ultra Low)로 분류되며, 'C'는 낮은 강도의 지반을 의미합니다."
92,항공기 자동착륙을 지원하는 최상위 등급인 'CAT-III 정밀접근활주로'에 설치되는 활주로 중심선등(Centerline lights)의 설치 간격(거리)은 얼마이어야 하는가?,15m,30m,60m,90m,150m,1,"CAT-III 운영은 가시거리가 극도로 낮으므로, 조종사의 시각적 안내 빈도를 높이기 위해 활주로 중심선등을 15m 간격으로 촘촘하게 설치해야 합니다."
93,"진입각지시등(PAPI)의 광선이 뻗어 나가는 전방 구역에 '장애물보호표면(OPS, Obstacle Protection Surface)'을 침투하는 새로운 구조물이 생겼을 경우, 공항운영자가 취해야 할 조치로 가장 적절한 것은?",장애물에 흑색 페인트 칠하기,PAPI 철거 후 육안 착륙 유도,"장애물을 제거하거나, 불가능할 경우 PAPI의 설치 위치를 이동하거나 진입각을 상향 조정하여 항공기가 장애물을 안전하게 넘도록 조치",해당 구조물을 조종사가 알아서 회피하도록 방치,조치 없이 야간에만 PAPI 끄기,3,"PAPI OPS를 침범하는 장애물은 비행 안전에 치명적이므로, 장애물 제거가 안 되면 PAPI 위치를 뒤로 물리거나 각도를 높여 여유고를 확보해야 합니다."
94,저시정 운영(LVP) 절차를 가동 중인 공항에서 해당 절차를 해제(종료)할 수 있는 기상 판단 기준은?,시정이 100m로 떨어졌을 때,안개가 더 짙어질 때,"기상 상태가 RVR 400m 이상, 일반 시정 800m 이상으로 호전되고 이 상태가 지속될 것으로 예보될 때",밤 12시가 지났을 때,조종사가 육안으로 활주로를 보았다고 할 때,3,LVP는 기상 조건이 법적 최소 기준(RVR 400m 등) 위로 확실히 회복되고 지속될 것으로 관측될 때 관제탑과 공항운영자의 협의 하에 해제됩니다.
95,공항안전운영 세부지침 등 여러 항공 법령에서 비행장 등화시설을 의무적으로 켜야 하는 기준이 되는 '야간(Night)'의 법적/일반적 정의는?,오후 6시부터 오전 6시까지,해가 진 후(일몰)부터 해가 뜨기 전(일출)까지,오후 8시부터 다음날 오전 9시까지,별이 보이기 시작할 때부터,가로등이 켜지는 시간,2,항공 법령상 야간은 기본적으로 지역 시각을 기준으로 일몰(태양의 윗부분이 지평선 아래로 내려간 시간)부터 일출 전까지의 시간을 의미합니다.
96,계류장에서 발생하는 FOD(외부 이물질) 사고 중 인적 요인(Human factors)에 의해 가장 빈번하게 발생하는 사례는?,강풍에 의한 나뭇가지 유입,야생 조류의 깃털 탈락,"조업 작업 후 공구 등 장비 미수거 및 방치, 쓰레기 무단 투기",눈/비에 의한 포장면 자연 균열 파편,번개에 의한 시설물 파손,3,"계류장 내 FOD의 상당수는 정비사나 조업원의 수공구 미회수, 화물 래싱 끈, 비닐 등의 방치와 같은 부주의(인적 요인)에 의해 발생합니다."
97,"공항 비상계획(AEP)에 따른 모의훈련 시, 항공기 대형 사고를 가정하여 공항 내부 기관뿐만 아니라 '반드시 협력 체계를 점검해야 하는 공항 외부 기관'으로 묶인 것은?","지역 기상청, 항공우주연구원, 특허청","인근 지역 소방서, 대형 병원(응급의료기관), 지역 경찰 및 군부대","면세점 본사, 면세품 인도장, 백화점","방송국, 신문사, 연예기획사","동물보호소, 환경단체",2,"대형 비상사태 시 공항 자체 소방력만으로는 부족하므로 지역 소방, 대량 환자 이송을 위한 병원, 현장 통제를 위한 경찰 등 외부 유관기관과의 동원 체계 점검이 필수입니다."
98,"계류장에서 항공기 엔진 시동 또는 출력 증가 시 발생하는 강력한 후류(Jet Blast)로부터 뒤쪽의 도로, 인원, 건물 등을 보호하기 위해 주기장 뒤편에 설치하는 차단 구조물은?",방음벽 (Sound Barrier),제트블래스트 펜스 (Jet Blast Fence / Deflector),보안 철책 (Security Fence),수막 방어벽 (Water Curtain),에어 커튼 (Air Curtain),2,제트블래스트 펜스는 엔진에서 뿜어져 나오는 고온/고압의 배기가스를 위로 굴절시켜 뒤편의 차량이나 여객을 보호하는 구조물입니다.
99,"이동지역 내에서 차량 전용도로(Service Road)와 항공기용 유도로(Taxiway)가 평행하게 인접해 있을 때, 운전자가 차량 도로를 이탈하지 않도록 도로 가장자리에 도색하는 차선의 색상은?",청색 실선,황색 파선,녹색 실선,백색 실선,적색 파선,4,"항공기가 다니는 유도로의 표지는 '황색'이며, 일반 차량이 다니는 이동지역 내 서비스 도로의 차선 및 경계선은 '백색'으로 구분하여 칠해야 합니다."
100,공항운영자가 수립하는 안전관리시스템(SMS)의 4대 핵심 구성요소 중 '안전정책 및 목표(Safety Policy and Objectives)'에 가장 첫 번째로 명시되어야 하는 핵심 내용은?,최고경영자(CEO)의 안전에 대한 확고한 의지(안전 약속) 및 책임 명시,징계 위원회 구성 명단,올해의 매출 목표액,외주 용역업체 선정 기준,사고 발생 시 언론 대응 시나리오,1,SMS의 성공적인 정착을 위해 가장 중요한 것은 조직 최고책임자(Accountable Executive)의 안전 최우선 정책 선언과 자원 지원에 대한 서면 약속입니다.
